"Time","Weighted Average","Average"
2026-01-06 17:25:00,1.07,1.28
2026-01-06 17:26:00,0.956,1.02
2026-01-06 17:27:00,0.527,0.549
2026-01-06 17:28:00,0.467,0.483
2026-01-06 17:29:00,0.424,0.622
2026-01-06 17:30:00,0.444,0.622
2026-01-06 17:31:00,0.487,0.610
2026-01-06 17:32:00,1.01,0.867
2026-01-06 17:33:00,0.595,0.708
2026-01-06 17:34:00,0.696,0.635
2026-01-06 17:35:00,0.320,0.462
2026-01-06 17:36:00,0.274,0.404
2026-01-06 17:37:00,0.288,0.410
2026-01-06 17:38:00,0.255,0.356
2026-01-06 17:39:00,0.305,0.367
2026-01-06 17:40:00,0.305,0.367
2026-01-06 17:41:00,0.181,0.365
2026-01-06 17:42:00,0.162,0.326
2026-01-06 17:43:00,0.146,0.354
2026-01-06 17:44:00,0.146,0.354
2026-01-06 17:45:00,0.146,0.354
2026-01-06 17:46:00,0.146,0.354
2026-01-06 17:47:00,0.146,0.354
