"Time","sum (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""gcn_891461c3""}[4m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""gcn_891461c3""}[4m0s])
)  * 8 "
2026-01-16 15:18:00,1.57 Mb/s
2026-01-16 15:19:00,2.49 Mb/s
2026-01-16 15:20:00,3.70 Mb/s
2026-01-16 15:21:00,4.71 Mb/s
2026-01-16 15:22:00,4.26 Mb/s
2026-01-16 15:23:00,3.71 Mb/s
2026-01-16 15:24:00,3.36 Mb/s
2026-01-16 15:25:00,3.45 Mb/s
