"Time","gateway1","scheduler","worker1","worker3","worker8"
2026-01-16 15:18:00,1.56 kb/s,26.5 kb/s,1.00 Mb/s,345 kb/s,197 kb/s
2026-01-16 15:19:00,1.71 kb/s,20.8 kb/s,959 kb/s,1.02 Mb/s,485 kb/s
2026-01-16 15:20:00,1.49 kb/s,14.6 kb/s,1.33 Mb/s,1.59 Mb/s,766 kb/s
2026-01-16 15:21:00,615 b/s,16.3 kb/s,2.26 Mb/s,1.70 Mb/s,733 kb/s
2026-01-16 15:22:00,423 b/s,10.9 kb/s,2.77 Mb/s,1.00 Mb/s,478 kb/s
2026-01-16 15:23:00,555 b/s,4.28 kb/s,3.20 Mb/s,349 kb/s,153 kb/s
2026-01-16 15:24:00,557 b/s,,3.35 Mb/s,562 b/s,296 b/s
2026-01-16 15:25:00,479 b/s,,3.45 Mb/s,568 b/s,
