"Time","c4f50f05-120d-418b-aca5-634762dcea3d","f60dfac0-dc31-4e26-b7a9-8b7e7d2fb7c9"
2026-01-16 15:18:00,15.7 s,2.83 s
2026-01-16 15:19:00,15.7 s,2.45 s
2026-01-16 15:20:00,,2.73 s
2026-01-16 15:21:00,,2.50 s
2026-01-16 15:22:00,,2.50 s
2026-01-16 15:23:00,,2.50 s
2026-01-16 15:24:00,,2.50 s
2026-01-16 15:25:00,,2.50 s
