"Time","in:gcn_891461c3/gateway1","in:gcn_891461c3/scheduler","in:gcn_891461c3/worker1","in:gcn_891461c3/worker3","in:gcn_891461c3/worker8","out:gcn_891461c3/gateway1","out:gcn_891461c3/scheduler","out:gcn_891461c3/worker1","out:gcn_891461c3/worker3","out:gcn_891461c3/worker8","sum:gcn_891461c3/gateway1","sum:gcn_891461c3/scheduler","sum:gcn_891461c3/worker1","sum:gcn_891461c3/worker3","sum:gcn_891461c3/worker8"
2026-01-16 15:18:00,1.90 MB,73.5 kB,1.60 MB,4.08 MB,2.50 MB,2.02 MB,84.1 kB,1.83 MB,3.61 MB,2.50 MB,3.91 MB,158 kB,3.43 MB,7.70 MB,5.00 MB
2026-01-16 15:19:00,1.90 MB,146 kB,5.44 MB,11.8 MB,6.33 MB,2.02 MB,169 kB,5.68 MB,11.7 MB,6.57 MB,3.92 MB,314 kB,11.1 MB,23.4 MB,12.9 MB
2026-01-16 15:20:00,1.90 MB,214 kB,9.28 MB,19.2 MB,10.2 MB,2.02 MB,249 kB,9.53 MB,18.9 MB,10.2 MB,3.93 MB,463 kB,18.8 MB,38.1 MB,20.4 MB
2026-01-16 15:21:00,1.91 MB,241 kB,11.5 MB,23.0 MB,11.5 MB,2.02 MB,283 kB,11.6 MB,22.9 MB,11.6 MB,3.93 MB,524 kB,23.1 MB,45.9 MB,23.1 MB
2026-01-16 15:22:00,1.91 MB,241 kB,11.5 MB,23.0 MB,11.5 MB,2.02 MB,283 kB,11.6 MB,22.9 MB,11.6 MB,3.93 MB,524 kB,23.1 MB,45.9 MB,23.1 MB
2026-01-16 15:23:00,1.91 MB,241 kB,11.5 MB,23.0 MB,11.5 MB,2.03 MB,283 kB,11.6 MB,22.9 MB,11.6 MB,3.94 MB,524 kB,23.1 MB,46.0 MB,23.1 MB
2026-01-16 15:24:00,1.91 MB,241 kB,11.5 MB,23.0 MB,11.5 MB,2.03 MB,283 kB,11.6 MB,22.9 MB,11.6 MB,3.94 MB,524 kB,23.1 MB,46.0 MB,23.1 MB
2026-01-16 15:25:00,1.91 MB,241 kB,11.5 MB,23.0 MB,11.5 MB,2.03 MB,283 kB,11.6 MB,22.9 MB,11.6 MB,3.94 MB,524 kB,23.1 MB,46.0 MB,23.1 MB
