"Time","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","12D3KooWCrsm9LonCnLLWQwoM2eMWMqneuwMXTUtcmyxPLmYhp6Y","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G"
2026-01-16 15:18:00,2.72,0.974,0.979
2026-01-16 15:19:00,2.72,0.854,0.844
2026-01-16 15:20:00,,0.776,0.763
2026-01-16 15:21:00,,0.768,0.755
2026-01-16 15:22:00,,0.768,0.755
2026-01-16 15:23:00,,0.768,0.755
2026-01-16 15:24:00,,0.768,0.755
2026-01-16 15:25:00,,0.768,0.755
