"Time","data_points (c4f50f05-120d-418b-aca5-634762dcea3d)","data_points (f60dfac0-dc31-4e26-b7a9-8b7e7d2fb7c9)"
2026-01-16 15:18:00,8,17
2026-01-16 15:19:00,8,16.5
2026-01-16 15:20:00,,16.5
2026-01-16 15:21:00,,16
2026-01-16 15:22:00,,16
2026-01-16 15:23:00,,16
2026-01-16 15:24:00,,16
2026-01-16 15:25:00,,16
