"Time","in:gcn_891461c3","out:gcn_891461c3","sum:gcn_891461c3"
2026-01-16 15:18:00,10.2 MB,10.0 MB,20.2 MB
2026-01-16 15:19:00,25.6 MB,26.1 MB,51.7 MB
2026-01-16 15:20:00,40.8 MB,40.9 MB,81.7 MB
2026-01-16 15:21:00,48.2 MB,48.4 MB,96.6 MB
2026-01-16 15:22:00,48.3 MB,48.4 MB,96.6 MB
2026-01-16 15:23:00,48.3 MB,48.4 MB,96.6 MB
2026-01-16 15:24:00,48.3 MB,48.4 MB,96.6 MB
2026-01-16 15:25:00,48.3 MB,48.4 MB,96.6 MB
