run,t_hours,rtt_ms
wav2vec2_4ba6b0ef_other_reports,1.6333333333333333,61.3
wav2vec2_4ba6b0ef_other_reports,1.65,61.3
wav2vec2_4ba6b0ef_other_reports,1.6666666666666667,61.2
wav2vec2_4ba6b0ef_other_reports,1.6833333333333333,61.4
wav2vec2_4ba6b0ef_other_reports,1.7,61.2
wav2vec2_4ba6b0ef_other_reports,1.7166666666666666,61.3
wav2vec2_4ba6b0ef_other_reports,1.7333333333333334,61.5
wav2vec2_4ba6b0ef_other_reports,1.75,61.2
wav2vec2_4ba6b0ef_other_reports,1.7666666666666666,61.3
wav2vec2_4ba6b0ef_other_reports,1.7833333333333334,61.4
wav2vec2_4ba6b0ef_other_reports,1.8,61.2
wav2vec2_4ba6b0ef_other_reports,1.8166666666666667,61.4
wav2vec2_4ba6b0ef_other_reports,1.8333333333333333,61.5
wav2vec2_4ba6b0ef_other_reports,1.85,61.3
wav2vec2_4ba6b0ef_other_reports,1.8666666666666667,61.3
wav2vec2_4ba6b0ef_other_reports,1.8833333333333333,61.4
wav2vec2_4ba6b0ef_other_reports,1.9,61.6
wav2vec2_4ba6b0ef_other_reports,1.9166666666666667,61.3
wav2vec2_4ba6b0ef_other_reports,1.9333333333333333,61.6
wav2vec2_4ba6b0ef_other_reports,1.95,61.1
wav2vec2_4ba6b0ef_other_reports,1.9666666666666666,61.5
wav2vec2_4ba6b0ef_other_reports,1.9833333333333334,61.2
wav2vec2_4ba6b0ef_other_reports,2.0,61.3
wav2vec2_4ba6b0ef_other_reports,2.0166666666666666,61.6
wav2vec2_4ba6b0ef_other_reports,2.033333333333333,61.1
wav2vec2_4ba6b0ef_other_reports,2.05,61.3
wav2vec2_4ba6b0ef_other_reports,2.066666666666667,61.3
wav2vec2_4ba6b0ef_other_reports,2.0833333333333335,61.3
wav2vec2_4ba6b0ef_other_reports,2.1,61.4
wav2vec2_4ba6b0ef_other_reports,2.1166666666666667,61.3
wav2vec2_4ba6b0ef_other_reports,2.1333333333333333,61.4
wav2vec2_4ba6b0ef_other_reports,2.15,61.5
wav2vec2_4ba6b0ef_other_reports,2.1666666666666665,61.6
wav2vec2_4ba6b0ef_other_reports,2.183333333333333,61.4
wav2vec2_4ba6b0ef_other_reports,2.2,61.8
wav2vec2_4ba6b0ef_other_reports,2.216666666666667,61.6
wav2vec2_4ba6b0ef_other_reports,2.2333333333333334,61.6
wav2vec2_4ba6b0ef_other_reports,2.25,61.5
wav2vec2_4ba6b0ef_other_reports,2.2666666666666666,61.5
