run,t_hours,rounds
wav2vec2_4ba6b0ef_other_reports,1.6333333333333333,89.0
wav2vec2_4ba6b0ef_other_reports,1.65,90.0
wav2vec2_4ba6b0ef_other_reports,1.6666666666666667,90.0
wav2vec2_4ba6b0ef_other_reports,1.6833333333333333,89.0
wav2vec2_4ba6b0ef_other_reports,1.7,88.0
wav2vec2_4ba6b0ef_other_reports,1.7166666666666666,89.0
wav2vec2_4ba6b0ef_other_reports,1.7333333333333334,88.0
wav2vec2_4ba6b0ef_other_reports,1.75,89.0
wav2vec2_4ba6b0ef_other_reports,1.7666666666666666,89.0
wav2vec2_4ba6b0ef_other_reports,1.7833333333333334,90.0
wav2vec2_4ba6b0ef_other_reports,1.8,90.0
wav2vec2_4ba6b0ef_other_reports,1.8166666666666667,90.0
wav2vec2_4ba6b0ef_other_reports,1.8333333333333333,89.0
wav2vec2_4ba6b0ef_other_reports,1.85,89.0
wav2vec2_4ba6b0ef_other_reports,1.8666666666666667,89.0
wav2vec2_4ba6b0ef_other_reports,1.8833333333333333,89.0
wav2vec2_4ba6b0ef_other_reports,1.9,89.0
wav2vec2_4ba6b0ef_other_reports,1.9166666666666667,88.0
wav2vec2_4ba6b0ef_other_reports,1.9333333333333333,88.0
wav2vec2_4ba6b0ef_other_reports,1.95,89.0
wav2vec2_4ba6b0ef_other_reports,1.9666666666666666,88.0
wav2vec2_4ba6b0ef_other_reports,1.9833333333333334,89.0
wav2vec2_4ba6b0ef_other_reports,2.0,89.0
wav2vec2_4ba6b0ef_other_reports,2.0166666666666666,88.0
wav2vec2_4ba6b0ef_other_reports,2.033333333333333,89.0
wav2vec2_4ba6b0ef_other_reports,2.05,90.0
wav2vec2_4ba6b0ef_other_reports,2.066666666666667,90.0
wav2vec2_4ba6b0ef_other_reports,2.0833333333333335,90.0
wav2vec2_4ba6b0ef_other_reports,2.1,89.0
wav2vec2_4ba6b0ef_other_reports,2.1166666666666667,89.0
wav2vec2_4ba6b0ef_other_reports,2.1333333333333333,89.0
wav2vec2_4ba6b0ef_other_reports,2.15,89.0
wav2vec2_4ba6b0ef_other_reports,2.1666666666666665,90.0
wav2vec2_4ba6b0ef_other_reports,2.183333333333333,90.0
wav2vec2_4ba6b0ef_other_reports,2.2,90.0
wav2vec2_4ba6b0ef_other_reports,2.216666666666667,91.0
wav2vec2_4ba6b0ef_other_reports,2.2333333333333334,91.0
wav2vec2_4ba6b0ef_other_reports,2.25,90.0
wav2vec2_4ba6b0ef_other_reports,2.2666666666666666,91.0
wav2vec2_4ba6b0ef_other_reports,2.283333333333333,92.0
wav2vec2_4ba6b0ef_other_reports,2.3,91.0
wav2vec2_4ba6b0ef_other_reports,2.316666666666667,91.0
wav2vec2_4ba6b0ef_other_reports,2.3333333333333335,91.0
wav2vec2_4ba6b0ef_other_reports,2.35,92.0
wav2vec2_4ba6b0ef_other_reports,2.3666666666666667,91.0
wav2vec2_4ba6b0ef_other_reports,2.3833333333333333,91.0
wav2vec2_4ba6b0ef_other_reports,2.4,92.0
wav2vec2_4ba6b0ef_other_reports,2.4166666666666665,91.0
wav2vec2_4ba6b0ef_other_reports,2.433333333333333,91.0
wav2vec2_4ba6b0ef_other_reports,2.45,90.0
wav2vec2_4ba6b0ef_other_reports,2.466666666666667,91.0
wav2vec2_4ba6b0ef_other_reports,2.4833333333333334,91.0
wav2vec2_4ba6b0ef_other_reports,2.5,91.0
wav2vec2_4ba6b0ef_other_reports,2.5166666666666666,91.0
wav2vec2_4ba6b0ef_other_reports,2.533333333333333,91.0
wav2vec2_4ba6b0ef_other_reports,2.55,91.0
wav2vec2_4ba6b0ef_other_reports,2.566666666666667,91.0
wav2vec2_4ba6b0ef_other_reports,2.5833333333333335,91.0
wav2vec2_4ba6b0ef_other_reports,2.6,91.0
wav2vec2_4ba6b0ef_other_reports,2.6166666666666667,91.0
wav2vec2_4ba6b0ef_other_reports,2.6333333333333333,91.0
wav2vec2_4ba6b0ef_other_reports,2.65,90.0
wav2vec2_4ba6b0ef_other_reports,2.6666666666666665,90.0
wav2vec2_4ba6b0ef_other_reports,2.683333333333333,91.0
wav2vec2_4ba6b0ef_other_reports,2.7,91.0
wav2vec2_4ba6b0ef_other_reports,2.716666666666667,90.0
wav2vec2_4ba6b0ef_other_reports,2.7333333333333334,91.0
wav2vec2_4ba6b0ef_other_reports,2.75,91.0
wav2vec2_4ba6b0ef_other_reports,2.7666666666666666,92.0
wav2vec2_4ba6b0ef_other_reports,2.783333333333333,92.0
wav2vec2_4ba6b0ef_other_reports,2.8,91.0
wav2vec2_4ba6b0ef_other_reports,2.816666666666667,90.0
wav2vec2_4ba6b0ef_other_reports,2.8333333333333335,91.0
wav2vec2_4ba6b0ef_other_reports,2.85,92.0
wav2vec2_4ba6b0ef_other_reports,2.8666666666666667,91.0
wav2vec2_4ba6b0ef_other_reports,2.8833333333333333,92.0
wav2vec2_4ba6b0ef_other_reports,2.9,92.0
wav2vec2_4ba6b0ef_other_reports,2.9166666666666665,92.0
wav2vec2_4ba6b0ef_other_reports,2.933333333333333,92.0
wav2vec2_4ba6b0ef_other_reports,2.95,91.0
wav2vec2_4ba6b0ef_other_reports,2.966666666666667,92.0
wav2vec2_4ba6b0ef_other_reports,2.9833333333333334,91.0
wav2vec2_4ba6b0ef_other_reports,3.0,92.0
wav2vec2_4ba6b0ef_other_reports,3.0166666666666666,93.0
wav2vec2_4ba6b0ef_other_reports,3.033333333333333,93.0
wav2vec2_4ba6b0ef_other_reports,3.05,92.0
wav2vec2_4ba6b0ef_other_reports,3.066666666666667,92.0
wav2vec2_4ba6b0ef_other_reports,3.0833333333333335,92.0
wav2vec2_4ba6b0ef_other_reports,3.1,93.0
wav2vec2_4ba6b0ef_other_reports,3.1166666666666667,92.0
wav2vec2_4ba6b0ef_other_reports,3.1333333333333333,93.0
wav2vec2_4ba6b0ef_other_reports,3.15,92.0
wav2vec2_4ba6b0ef_other_reports,3.1666666666666665,92.0
wav2vec2_4ba6b0ef_other_reports,3.183333333333333,92.0
wav2vec2_4ba6b0ef_other_reports,3.2,92.0
wav2vec2_4ba6b0ef_other_reports,3.216666666666667,92.0
wav2vec2_4ba6b0ef_other_reports,3.2333333333333334,91.0
wav2vec2_4ba6b0ef_other_reports,3.25,92.0
wav2vec2_4ba6b0ef_other_reports,3.2666666666666666,92.0
wav2vec2_4ba6b0ef_other_reports,3.283333333333333,91.0
wav2vec2_4ba6b0ef_other_reports,3.3,91.0
wav2vec2_4ba6b0ef_other_reports,3.316666666666667,91.0
wav2vec2_4ba6b0ef_other_reports,3.3333333333333335,91.0
wav2vec2_4ba6b0ef_other_reports,3.35,90.0
wav2vec2_4ba6b0ef_other_reports,3.3666666666666667,91.0
wav2vec2_4ba6b0ef_other_reports,3.3833333333333333,90.0
wav2vec2_4ba6b0ef_other_reports,3.4,90.0
wav2vec2_4ba6b0ef_other_reports,3.4166666666666665,90.0
wav2vec2_4ba6b0ef_other_reports,3.433333333333333,91.0
wav2vec2_4ba6b0ef_other_reports,3.45,91.0
wav2vec2_4ba6b0ef_other_reports,3.466666666666667,91.0
wav2vec2_4ba6b0ef_other_reports,3.4833333333333334,90.0
wav2vec2_4ba6b0ef_other_reports,3.5,90.0
wav2vec2_4ba6b0ef_other_reports,3.5166666666666666,91.0
wav2vec2_4ba6b0ef_other_reports,3.533333333333333,90.0
wav2vec2_4ba6b0ef_other_reports,3.55,91.0
wav2vec2_4ba6b0ef_other_reports,3.566666666666667,91.0
wav2vec2_4ba6b0ef_other_reports,3.5833333333333335,91.0
wav2vec2_4ba6b0ef_other_reports,3.6,91.0
wav2vec2_4ba6b0ef_other_reports,3.6166666666666667,91.0
wav2vec2_4ba6b0ef_other_reports,3.6333333333333333,91.0
wav2vec2_4ba6b0ef_other_reports,3.65,91.0
wav2vec2_4ba6b0ef_other_reports,3.6666666666666665,91.0
wav2vec2_4ba6b0ef_other_reports,3.683333333333333,91.0
wav2vec2_4ba6b0ef_other_reports,3.7,92.0
wav2vec2_4ba6b0ef_other_reports,3.716666666666667,92.0
wav2vec2_4ba6b0ef_other_reports,3.7333333333333334,91.0
wav2vec2_4ba6b0ef_other_reports,3.75,90.0
wav2vec2_4ba6b0ef_other_reports,3.7666666666666666,90.0
wav2vec2_4ba6b0ef_other_reports,3.783333333333333,89.0
