"Time","sum (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1""}[4m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1""}[4m0s])
)  * 8 "
2026-01-06 20:42:00,5.73 Mb/s
2026-01-06 20:43:00,8.90 Mb/s
2026-01-06 20:44:00,12.1 Mb/s
2026-01-06 20:45:00,12.3 Mb/s
2026-01-06 20:46:00,12.4 Mb/s
2026-01-06 20:47:00,12.6 Mb/s
2026-01-06 20:48:00,12.7 Mb/s
2026-01-06 20:49:00,9.54 Mb/s
2026-01-06 20:50:00,9.03 Mb/s
2026-01-06 20:51:00,8.25 Mb/s
2026-01-06 20:52:00,8.33 Mb/s
2026-01-06 20:53:00,5.79 Mb/s
2026-01-06 20:54:00,171 kb/s
