"Time","Weighted Average","Average"
2026-01-06 20:41:00,1.28,1.68
2026-01-06 20:42:00,0.826,1.03
2026-01-06 20:43:00,0.684,0.679
2026-01-06 20:44:00,0.416,0.560
2026-01-06 20:45:00,0.404,0.403
2026-01-06 20:46:00,0.294,0.427
2026-01-06 20:47:00,0.336,0.308
2026-01-06 20:48:00,0.354,0.360
2026-01-06 20:49:00,0.205,0.322
2026-01-06 20:50:00,0.306,0.356
2026-01-06 20:51:00,0.275,0.305
2026-01-06 20:52:00,0.275,0.305
2026-01-06 20:53:00,0.275,0.305
2026-01-06 20:54:00,0.275,0.305
2026-01-06 20:55:00,0.275,0.305
