"Time","sum:","sum:r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1/gateway","sum:r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1/worker1","sum:r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1/worker10","sum:r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1/worker2","sum:r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1/worker3","sum:r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1/worker4","sum:r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1/worker5","sum:r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1/worker6","sum:r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1/worker7","sum:r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1/worker8","sum:r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1/worker9"
2026-01-06 20:41:00,1.26 MB,727 kB,472 kB,25.3 MB,480 kB,74.6 MB,640 kB,20.6 MB,21.0 MB,675 kB,678 kB,23.8 MB
2026-01-06 20:42:00,1.78 MB,748 kB,475 kB,36.8 MB,502 kB,119 MB,693 kB,32.0 MB,33.0 MB,697 kB,700 kB,35.2 MB
2026-01-06 20:43:00,2.29 MB,754 kB,133 kB,48.4 MB,509 kB,166 MB,734 kB,43.6 MB,44.6 MB,707 kB,709 kB,47.7 MB
2026-01-06 20:44:00,2.79 MB,774 kB,279 kB,59.4 MB,528 kB,208 MB,789 kB,54.3 MB,55.4 MB,728 kB,730 kB,58.6 MB
2026-01-06 20:45:00,3.53 MB,1.13 MB,292 kB,71.2 MB,775 kB,254 MB,1.11 MB,66.1 MB,67.0 MB,1.07 MB,1.08 MB,70.4 MB
2026-01-06 20:46:00,4.06 MB,1.14 MB,299 kB,83.6 MB,781 kB,302 MB,1.16 MB,78.0 MB,79.9 MB,1.08 MB,1.09 MB,82.3 MB
2026-01-06 20:47:00,4.57 MB,1.14 MB,309 kB,94.9 MB,789 kB,346 MB,1.20 MB,89.3 MB,91.2 MB,1.09 MB,1.10 MB,93.9 MB
2026-01-06 20:48:00,5.08 MB,1.15 MB,318 kB,107 MB,796 kB,394 MB,1.24 MB,101 MB,103 MB,1.10 MB,1.10 MB,106 MB
2026-01-06 20:49:00,5.62 MB,1.18 MB,548 kB,111 MB,823 kB,408 MB,1.30 MB,105 MB,335 kB,1.13 MB,1.13 MB,110 MB
2026-01-06 20:50:00,6.30 MB,1.54 MB,574 kB,120 MB,1.09 MB,443 MB,1.64 MB,115 MB,335 kB,13.0 MB,1.49 MB,119 MB
2026-01-06 20:51:00,6.82 MB,1.59 MB,638 kB,133 MB,1.16 MB,491 MB,1.75 MB,127 MB,284 kB,25.2 MB,1.57 MB,132 MB
2026-01-06 20:52:00,6.82 MB,1.59 MB,638 kB,133 MB,1.16 MB,491 MB,1.75 MB,127 MB,284 kB,25.2 MB,1.57 MB,132 MB
2026-01-06 20:53:00,6.82 MB,1.59 MB,638 kB,133 MB,1.16 MB,491 MB,1.75 MB,127 MB,284 kB,25.2 MB,1.57 MB,132 MB
2026-01-06 20:54:00,6.82 MB,1.59 MB,638 kB,133 MB,1.16 MB,491 MB,1.75 MB,127 MB,262 kB,25.2 MB,1.57 MB,132 MB
2026-01-06 20:55:00,6.82 MB,1.59 MB,638 kB,133 MB,1.16 MB,491 MB,1.75 MB,127 MB,262 kB,25.2 MB,1.57 MB,132 MB
