"Time","036366ad-99ac-4e54-859c-f08c23d54754"
2026-01-06 20:41:00,702 ms
2026-01-06 20:42:00,613 ms
2026-01-06 20:43:00,412 ms
2026-01-06 20:44:00,713 ms
2026-01-06 20:45:00,835 ms
2026-01-06 20:46:00,478 ms
2026-01-06 20:47:00,391 ms
2026-01-06 20:48:00,445 ms
2026-01-06 20:49:00,775 ms
2026-01-06 20:50:00,628 ms
2026-01-06 20:51:00,741 ms
2026-01-06 20:52:00,741 ms
2026-01-06 20:53:00,741 ms
2026-01-06 20:54:00,741 ms
2026-01-06 20:55:00,741 ms
