"Time","in:r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1","out:r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1","sum:r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1"
2026-01-06 20:41:00,92.2 MB,78.1 MB,170 MB
2026-01-06 20:42:00,138 MB,124 MB,262 MB
2026-01-06 20:43:00,186 MB,170 MB,356 MB
2026-01-06 20:44:00,229 MB,213 MB,443 MB
2026-01-06 20:45:00,277 MB,261 MB,538 MB
2026-01-06 20:46:00,326 MB,309 MB,635 MB
2026-01-06 20:47:00,372 MB,354 MB,726 MB
2026-01-06 20:48:00,421 MB,402 MB,823 MB
2026-01-06 20:49:00,380 MB,365 MB,745 MB
2026-01-06 20:50:00,421 MB,402 MB,822 MB
2026-01-06 20:51:00,471 MB,451 MB,922 MB
2026-01-06 20:52:00,471 MB,451 MB,922 MB
2026-01-06 20:53:00,471 MB,451 MB,922 MB
2026-01-06 20:54:00,471 MB,451 MB,922 MB
2026-01-06 20:55:00,471 MB,451 MB,922 MB
