"Time","in:resnet_americas_03e4b61","out:resnet_americas_03e4b61","sum:resnet_americas_03e4b61"
2026-01-03 18:05:00,23.4 GB,2.28 GB,25.7 GB
2026-01-03 18:10:00,66.1 GB,7.78 GB,73.9 GB
2026-01-03 18:15:00,111 GB,14.0 GB,125 GB
2026-01-03 18:20:00,154 GB,19.3 GB,173 GB
2026-01-03 18:25:00,196 GB,24.9 GB,221 GB
2026-01-03 18:30:00,238 GB,30.3 GB,268 GB
2026-01-03 18:35:00,278 GB,35.5 GB,313 GB
2026-01-03 18:40:00,319 GB,41.0 GB,360 GB
2026-01-03 18:45:00,363 GB,46.7 GB,410 GB
2026-01-03 18:50:00,389 GB,54.3 GB,443 GB
2026-01-03 18:55:00,400 GB,65.5 GB,466 GB
2026-01-03 19:00:00,410 GB,73.0 GB,483 GB
2026-01-03 19:05:00,419 GB,77.8 GB,497 GB
2026-01-03 19:10:00,428 GB,82.9 GB,511 GB
2026-01-03 19:15:00,436 GB,87.0 GB,523 GB
2026-01-03 19:20:00,446 GB,91.9 GB,538 GB
2026-01-03 19:25:00,461 GB,95.0 GB,556 GB
2026-01-03 19:30:00,479 GB,102 GB,581 GB
2026-01-03 19:35:00,490 GB,113 GB,603 GB
2026-01-03 19:40:00,501 GB,124 GB,626 GB
2026-01-03 19:45:00,513 GB,136 GB,649 GB
2026-01-03 19:50:00,523 GB,142 GB,665 GB
2026-01-03 19:55:00,529 GB,145 GB,674 GB
2026-01-03 20:00:00,540 GB,152 GB,692 GB
2026-01-03 20:05:00,552 GB,164 GB,716 GB
2026-01-03 20:10:00,563 GB,175 GB,739 GB
2026-01-03 20:15:00,574 GB,184 GB,758 GB
2026-01-03 20:20:00,580 GB,186 GB,766 GB
2026-01-03 20:25:00,588 GB,190 GB,778 GB
2026-01-03 20:30:00,596 GB,194 GB,789 GB
2026-01-03 20:35:00,610 GB,200 GB,811 GB
2026-01-03 20:40:00,622 GB,212 GB,835 GB
2026-01-03 20:45:00,634 GB,224 GB,858 GB
2026-01-03 20:50:00,646 GB,236 GB,882 GB
2026-01-03 20:55:00,655 GB,241 GB,895 GB
2026-01-03 21:00:00,663 GB,245 GB,908 GB
2026-01-03 21:05:00,676 GB,256 GB,931 GB
2026-01-03 21:10:00,688 GB,268 GB,955 GB
2026-01-03 21:15:00,700 GB,280 GB,979 GB
2026-01-03 21:20:00,712 GB,291 GB,1.00 TB
2026-01-03 21:25:00,723 GB,297 GB,1.02 TB
2026-01-03 21:30:00,734 GB,309 GB,1.04 TB
2026-01-03 21:35:00,747 GB,321 GB,1.07 TB
2026-01-03 21:40:00,758 GB,333 GB,1.09 TB
2026-01-03 21:45:00,766 GB,339 GB,1.10 TB
2026-01-03 21:50:00,777 GB,344 GB,1.12 TB
2026-01-03 21:55:00,789 GB,356 GB,1.14 TB
2026-01-03 22:00:00,801 GB,368 GB,1.17 TB
2026-01-03 22:05:00,813 GB,380 GB,1.19 TB
2026-01-03 22:10:00,824 GB,388 GB,1.21 TB
2026-01-03 22:15:00,836 GB,399 GB,1.23 TB
2026-01-03 22:20:00,848 GB,411 GB,1.26 TB
2026-01-03 22:25:00,860 GB,424 GB,1.28 TB
2026-01-03 22:30:00,873 GB,435 GB,1.31 TB
2026-01-03 22:35:00,882 GB,443 GB,1.32 TB
2026-01-03 22:40:00,894 GB,454 GB,1.35 TB
2026-01-03 22:45:00,906 GB,466 GB,1.37 TB
2026-01-03 22:50:00,918 GB,478 GB,1.40 TB
2026-01-03 22:55:00,930 GB,490 GB,1.42 TB
2026-01-03 23:00:00,943 GB,502 GB,1.45 TB
2026-01-03 23:05:00,955 GB,514 GB,1.47 TB
2026-01-03 23:10:00,967 GB,527 GB,1.49 TB
