"Time","sum:resnet_americas_03e4b61/gateway1","sum:resnet_americas_03e4b61/scheduler","sum:resnet_americas_03e4b61/worker1","sum:resnet_americas_03e4b61/worker3","sum:resnet_americas_03e4b61/worker4","sum:resnet_americas_03e4b61/worker6"
2026-01-03 18:05:00,1.27 MB,678 kB,9.97 GB,2.23 GB,4.38 GB,9.09 GB
2026-01-03 18:10:00,1.44 MB,1.39 MB,29.4 GB,7.77 GB,10.4 GB,26.3 GB
2026-01-03 18:15:00,1.62 MB,2.06 MB,51.3 GB,13.9 GB,16.6 GB,43.3 GB
2026-01-03 18:20:00,1.78 MB,2.74 MB,72.1 GB,19.3 GB,22.8 GB,59.2 GB
2026-01-03 18:25:00,1.96 MB,3.45 MB,93.2 GB,24.9 GB,28.2 GB,74.8 GB
2026-01-03 18:30:00,2.13 MB,4.09 MB,113 GB,30.3 GB,34.5 GB,90.3 GB
2026-01-03 18:35:00,2.28 MB,4.78 MB,133 GB,35.4 GB,40.7 GB,105 GB
2026-01-03 18:40:00,2.45 MB,5.46 MB,151 GB,41.0 GB,46.9 GB,121 GB
2026-01-03 18:45:00,2.62 MB,6.16 MB,173 GB,46.7 GB,53.1 GB,137 GB
2026-01-03 18:50:00,2.79 MB,6.85 MB,184 GB,54.2 GB,58.1 GB,147 GB
2026-01-03 18:55:00,2.99 MB,7.56 MB,188 GB,65.4 GB,61.8 GB,151 GB
2026-01-03 19:00:00,3.17 MB,8.30 MB,190 GB,73.0 GB,66.6 GB,153 GB
2026-01-03 19:05:00,3.36 MB,9.08 MB,192 GB,77.8 GB,72.0 GB,155 GB
2026-01-03 19:10:00,3.52 MB,9.77 MB,194 GB,82.9 GB,78.0 GB,157 GB
2026-01-03 19:15:00,3.68 MB,10.6 MB,195 GB,86.9 GB,83.4 GB,158 GB
2026-01-03 19:20:00,3.84 MB,11.4 MB,197 GB,91.9 GB,88.8 GB,160 GB
2026-01-03 19:25:00,4.00 MB,11.9 MB,198 GB,94.9 GB,93.8 GB,170 GB
2026-01-03 19:30:00,4.16 MB,12.7 MB,200 GB,102 GB,98.3 GB,181 GB
2026-01-03 19:35:00,4.33 MB,13.5 MB,204 GB,113 GB,102 GB,184 GB
2026-01-03 19:40:00,4.51 MB,14.2 MB,207 GB,124 GB,106 GB,188 GB
2026-01-03 19:45:00,4.68 MB,14.9 MB,211 GB,136 GB,110 GB,192 GB
2026-01-03 19:50:00,4.87 MB,15.7 MB,213 GB,142 GB,115 GB,194 GB
2026-01-03 19:55:00,5.02 MB,16.6 MB,214 GB,145 GB,120 GB,195 GB
2026-01-03 20:00:00,5.19 MB,17.3 MB,218 GB,152 GB,125 GB,197 GB
2026-01-03 20:05:00,5.35 MB,18.0 MB,222 GB,164 GB,129 GB,201 GB
2026-01-03 20:10:00,5.52 MB,18.7 MB,225 GB,175 GB,133 GB,205 GB
2026-01-03 20:15:00,5.69 MB,19.4 MB,228 GB,184 GB,137 GB,208 GB
2026-01-03 20:20:00,5.86 MB,20.1 MB,229 GB,186 GB,142 GB,209 GB
2026-01-03 20:25:00,6.03 MB,20.8 MB,230 GB,190 GB,148 GB,210 GB
2026-01-03 20:30:00,6.19 MB,21.4 MB,232 GB,194 GB,153 GB,211 GB
2026-01-03 20:35:00,6.36 MB,22.1 MB,238 GB,200 GB,158 GB,214 GB
2026-01-03 20:40:00,6.55 MB,22.8 MB,242 GB,212 GB,162 GB,218 GB
2026-01-03 20:45:00,6.73 MB,23.5 MB,246 GB,224 GB,166 GB,221 GB
2026-01-03 20:50:00,6.91 MB,24.2 MB,250 GB,236 GB,170 GB,225 GB
2026-01-03 20:55:00,7.07 MB,24.8 MB,252 GB,241 GB,176 GB,227 GB
2026-01-03 21:00:00,7.25 MB,25.6 MB,254 GB,245 GB,181 GB,228 GB
2026-01-03 21:05:00,7.42 MB,26.3 MB,259 GB,256 GB,185 GB,232 GB
