"Time","Weighted Average","Average"
2026-01-04 06:40:00,2.45,2.47
2026-01-04 06:45:00,2.83,2.88
2026-01-04 06:50:00,2.72,2.70
2026-01-04 06:55:00,2.53,2.50
2026-01-04 07:00:00,2.86,2.85
2026-01-04 07:05:00,2.69,2.71
2026-01-04 07:10:00,2.69,2.69
2026-01-04 07:15:00,2.95,2.89
2026-01-04 07:20:00,2.56,2.56
2026-01-04 07:25:00,2.67,2.68
2026-01-04 07:30:00,2.53,2.51
2026-01-04 07:35:00,2.53,2.54
2026-01-04 07:40:00,2.58,2.67
2026-01-04 07:45:00,2.62,2.56
2026-01-04 07:50:00,2.52,2.48
2026-01-04 07:55:00,2.50,2.49
2026-01-04 08:00:00,2.56,2.57
2026-01-04 08:05:00,2.47,2.40
2026-01-04 08:10:00,2.47,2.43
2026-01-04 08:15:00,2.56,2.57
2026-01-04 08:20:00,2.48,2.45
2026-01-04 08:25:00,2.33,2.31
2026-01-04 08:30:00,2.77,2.75
2026-01-04 08:35:00,2.40,2.42
2026-01-04 08:40:00,2.55,2.54
2026-01-04 08:45:00,2.45,2.45
2026-01-04 08:50:00,2.39,2.43
2026-01-04 08:55:00,2.16,2.15
2026-01-04 09:00:00,2.18,2.20
2026-01-04 09:05:00,2.48,2.47
2026-01-04 09:10:00,2.50,2.44
2026-01-04 09:15:00,2.33,2.35
2026-01-04 09:20:00,2.13,2.13
2026-01-04 09:25:00,2.38,2.33
2026-01-04 09:30:00,2.48,2.49
2026-01-04 09:35:00,2.18,2.19
2026-01-04 09:40:00,2.68,2.65
2026-01-04 09:45:00,2.59,2.61
2026-01-04 09:50:00,2.23,2.25
2026-01-04 09:55:00,2.24,2.29
2026-01-04 10:00:00,2.21,2.25
2026-01-04 10:05:00,2.53,2.49
2026-01-04 10:10:00,2.21,2.21
2026-01-04 10:15:00,2.38,2.40
2026-01-04 10:20:00,2.38,2.35
2026-01-04 10:25:00,2.25,2.35
2026-01-04 10:30:00,2.39,2.45
2026-01-04 10:35:00,2.44,2.44
2026-01-04 10:40:00,2.49,2.48
2026-01-04 10:45:00,2.13,2.10
2026-01-04 10:50:00,1.90,1.91
2026-01-04 10:55:00,2.22,2.19
2026-01-04 11:00:00,2.10,2.04
2026-01-04 11:05:00,2.20,2.22
2026-01-04 11:10:00,2.22,2.17
2026-01-04 11:15:00,1.99,2.02
2026-01-04 11:20:00,2.21,2.27
2026-01-04 11:25:00,2.11,2.08
2026-01-04 11:30:00,2.31,2.24
2026-01-04 11:35:00,2.06,2.06
2026-01-04 11:40:00,1.96,1.96
2026-01-04 11:45:00,2.33,2.33
2026-01-04 11:50:00,2.02,1.98
2026-01-04 11:55:00,2.08,2.10
2026-01-04 12:00:00,2.19,2.18
2026-01-04 12:05:00,2.28,2.29
2026-01-04 12:10:00,2.18,2.21
2026-01-04 12:15:00,2.20,2.19
2026-01-04 12:20:00,2.08,2.07
2026-01-04 12:25:00,2.28,2.26
2026-01-04 12:30:00,2.02,2.02
2026-01-04 12:35:00,2.09,2.06
2026-01-04 12:40:00,2.22,2.19
2026-01-04 12:45:00,2.04,2.04
2026-01-04 12:50:00,2.12,2.16
2026-01-04 12:55:00,2.01,2.01
2026-01-04 13:00:00,1.77,1.83
2026-01-04 13:05:00,1.83,1.87
2026-01-04 13:10:00,2.13,2.12
2026-01-04 13:15:00,1.72,1.75
2026-01-04 13:20:00,2.04,2.02
2026-01-04 13:25:00,1.91,1.88
2026-01-04 13:30:00,1.83,1.81
2026-01-04 13:35:00,1.95,1.96
2026-01-04 13:40:00,1.86,1.82
2026-01-04 13:45:00,1.83,1.83
2026-01-04 13:50:00,2.08,2.05
2026-01-04 13:55:00,2.09,2.09
2026-01-04 14:00:00,2.21,2.23
2026-01-04 14:05:00,2.28,2.19
2026-01-04 14:10:00,1.81,1.75
2026-01-04 14:15:00,1.85,1.86
2026-01-04 14:20:00,1.91,1.93
2026-01-04 14:25:00,2.20,2.13
2026-01-04 14:30:00,1.69,1.70
2026-01-04 14:35:00,2.15,2.18
2026-01-04 14:40:00,2.11,2.07
2026-01-04 14:45:00,2.03,2.02
2026-01-04 14:50:00,2.06,2.05
2026-01-04 14:55:00,2.17,2.11
2026-01-04 15:00:00,1.83,1.84
2026-01-04 15:05:00,2.10,2.09
2026-01-04 15:10:00,1.91,1.87
2026-01-04 15:15:00,1.89,1.88
2026-01-04 15:20:00,1.75,1.75
2026-01-04 15:25:00,1.73,1.76
2026-01-04 15:30:00,1.77,1.78
2026-01-04 15:35:00,1.84,1.83
2026-01-04 15:40:00,1.74,1.74
2026-01-04 15:45:00,1.60,1.60
2026-01-04 15:50:00,2.11,2.11
2026-01-04 15:55:00,1.64,1.63
2026-01-04 16:00:00,1.77,1.81
2026-01-04 16:05:00,1.88,1.89
2026-01-04 16:10:00,1.84,1.87
2026-01-04 16:15:00,2.07,2.04
2026-01-04 16:20:00,1.87,1.93
2026-01-04 16:25:00,1.65,1.67
2026-01-04 16:30:00,1.80,1.82
2026-01-04 16:35:00,1.94,1.92
2026-01-04 16:40:00,1.94,1.90
2026-01-04 16:45:00,1.95,1.97
2026-01-04 16:50:00,1.79,1.81
2026-01-04 16:55:00,2.01,1.97
2026-01-04 17:00:00,2.02,1.99
2026-01-04 17:05:00,1.68,1.72
2026-01-04 17:10:00,1.59,1.64
2026-01-04 17:15:00,1.85,1.85
2026-01-04 17:20:00,1.83,1.83
2026-01-04 17:25:00,1.89,1.90
2026-01-04 17:30:00,1.79,1.75
2026-01-04 17:35:00,2.04,2.06
2026-01-04 17:40:00,2.17,2.14
2026-01-04 17:45:00,1.55,1.55
2026-01-04 17:50:00,1.71,1.67
2026-01-04 17:55:00,1.54,1.54
2026-01-04 18:00:00,1.79,1.81
2026-01-04 18:05:00,1.50,1.51
2026-01-04 18:10:00,1.61,1.64
2026-01-04 18:15:00,1.70,1.69
2026-01-04 18:20:00,2.08,2.12
2026-01-04 18:25:00,1.94,1.95
2026-01-04 18:30:00,1.49,1.46
2026-01-04 18:35:00,1.52,1.51
2026-01-04 18:40:00,1.46,1.46
2026-01-04 18:45:00,1.60,1.62
2026-01-04 18:50:00,1.70,1.62
2026-01-04 18:55:00,1.61,1.63
2026-01-04 19:00:00,2.04,2.04
2026-01-04 19:05:00,1.98,1.97
2026-01-04 19:10:00,2.15,2.24
2026-01-04 19:15:00,1.49,1.47
2026-01-04 19:20:00,1.59,1.59
2026-01-04 19:25:00,1.58,1.58
2026-01-04 19:30:00,1.52,1.51
2026-01-04 19:35:00,1.37,1.37
2026-01-04 19:40:00,1.80,1.79
2026-01-04 19:45:00,1.60,1.62
2026-01-04 19:50:00,1.72,1.64
2026-01-04 19:55:00,1.37,1.36
2026-01-04 20:00:00,1.68,1.62
2026-01-04 20:05:00,1.47,1.46
2026-01-04 20:10:00,1.91,1.82
2026-01-04 20:15:00,1.68,1.68
2026-01-04 20:20:00,1.66,1.65
2026-01-04 20:25:00,1.81,1.79
2026-01-04 20:30:00,1.70,1.69
2026-01-04 20:35:00,1.55,1.53
2026-01-04 20:40:00,1.60,1.60
2026-01-04 20:45:00,1.62,1.53
2026-01-04 20:50:00,1.55,1.57
2026-01-04 20:55:00,1.39,1.42
2026-01-04 21:00:00,1.71,1.69
2026-01-04 21:05:00,1.65,1.69
2026-01-04 21:10:00,1.93,1.93
2026-01-04 21:15:00,1.41,1.40
2026-01-04 21:20:00,1.31,1.30
2026-01-04 21:25:00,1.73,1.71
2026-01-04 21:30:00,1.45,1.48
2026-01-04 21:35:00,1.75,1.81
2026-01-04 21:40:00,1.49,1.46
2026-01-04 21:45:00,1.77,1.78
2026-01-04 21:50:00,1.49,1.50
2026-01-04 21:55:00,1.85,1.89
2026-01-04 22:00:00,1.28,1.31
2026-01-04 22:05:00,1.26,1.27
2026-01-04 22:10:00,1.57,1.56
2026-01-04 22:15:00,1.51,1.50
2026-01-04 22:20:00,1.25,1.26
2026-01-04 22:25:00,1.33,1.32
2026-01-04 22:30:00,1.55,1.56
2026-01-04 22:35:00,1.42,1.42
2026-01-04 22:40:00,1.27,1.27
2026-01-04 22:45:00,1.70,1.74
2026-01-04 22:50:00,1.21,1.21
2026-01-04 22:55:00,1.47,1.48
2026-01-04 23:00:00,1.83,1.79
2026-01-04 23:05:00,1.37,1.41
2026-01-04 23:10:00,1.83,1.82
2026-01-04 23:15:00,1.39,1.39
2026-01-04 23:20:00,1.45,1.46
2026-01-04 23:25:00,1.66,1.60
2026-01-04 23:30:00,1.43,1.41
2026-01-04 23:35:00,1.44,1.42
2026-01-04 23:40:00,1.56,1.58
2026-01-04 23:45:00,1.61,1.73
2026-01-04 23:50:00,1.40,1.37
2026-01-04 23:55:00,1.54,1.52
2026-01-05 00:00:00,1.30,1.34
2026-01-05 00:05:00,1.58,1.53
2026-01-05 00:10:00,1.73,1.78
2026-01-05 00:15:00,1.05,1.04
2026-01-05 00:20:00,1.53,1.50
2026-01-05 00:25:00,1.53,1.55
2026-01-05 00:30:00,1.36,1.34
2026-01-05 00:35:00,1.48,1.47
2026-01-05 00:40:00,1.45,1.47
2026-01-05 00:45:00,1.32,1.35
2026-01-05 00:50:00,1.94,1.94
2026-01-05 00:55:00,1.64,1.62
2026-01-05 01:00:00,1.27,1.28
2026-01-05 01:05:00,1.39,1.38
2026-01-05 01:10:00,1.18,1.18
2026-01-05 01:15:00,1.41,1.40
2026-01-05 01:20:00,1.22,1.22
2026-01-05 01:25:00,1.23,1.24
2026-01-05 01:30:00,1.23,1.24
2026-01-05 01:35:00,1.22,1.23
2026-01-05 01:40:00,1.40,1.40
2026-01-05 01:45:00,1.35,1.35
2026-01-05 01:50:00,1.21,1.23
2026-01-05 01:55:00,1.44,1.42
2026-01-05 02:00:00,1.66,1.64
2026-01-05 02:05:00,1.43,1.41
2026-01-05 02:10:00,1.38,1.40
2026-01-05 02:15:00,1.44,1.36
2026-01-05 02:20:00,1.08,1.08
2026-01-05 02:25:00,1.37,1.38
2026-01-05 02:30:00,1.72,1.68
2026-01-05 02:35:00,1.28,1.24
2026-01-05 02:40:00,1.40,1.39
2026-01-05 02:45:00,1.36,1.32
2026-01-05 02:50:00,1.72,1.74
2026-01-05 02:55:00,1.17,1.22
2026-01-05 03:00:00,1.28,1.31
2026-01-05 03:05:00,1.45,1.42
2026-01-05 03:10:00,1.41,1.42
2026-01-05 03:15:00,1.46,1.46
2026-01-05 03:20:00,1.10,1.13
2026-01-05 03:25:00,1.34,1.38
2026-01-05 03:30:00,1.22,1.26
2026-01-05 03:35:00,1.62,1.62
2026-01-05 03:40:00,1.51,1.55
2026-01-05 03:45:00,1.32,1.31
2026-01-05 03:50:00,1.40,1.39
2026-01-05 03:55:00,1.41,1.41
2026-01-05 04:00:00,1.31,1.30
2026-01-05 04:05:00,1.57,1.59
2026-01-05 04:10:00,1.33,1.32
2026-01-05 04:15:00,1.27,1.26
2026-01-05 04:20:00,1.22,1.21
2026-01-05 04:25:00,1.69,1.68
2026-01-05 04:30:00,1.09,1.08
2026-01-05 04:35:00,1.35,1.36
2026-01-05 04:40:00,0.890,0.928
2026-01-05 04:45:00,1.14,1.12
2026-01-05 04:50:00,1.20,1.19
2026-01-05 04:55:00,1.29,1.37
2026-01-05 05:00:00,1.39,1.36
2026-01-05 05:05:00,1.38,1.41
2026-01-05 05:10:00,1.49,1.53
2026-01-05 05:15:00,1.49,1.50
2026-01-05 05:20:00,1.25,1.24
2026-01-05 05:25:00,1.32,1.34
2026-01-05 05:30:00,1.19,1.20
2026-01-05 05:35:00,1.40,1.40
2026-01-05 05:40:00,1.41,1.45
2026-01-05 05:45:00,1.25,1.22
2026-01-05 05:50:00,1.18,1.21
2026-01-05 05:55:00,1.50,1.46
2026-01-05 06:00:00,1.78,1.78
2026-01-05 06:05:00,1.23,1.24
