"Time","data_points"
2026-01-03 18:05:00,12540
2026-01-03 18:10:00,12460
2026-01-03 18:15:00,12550
2026-01-03 18:20:00,12260
2026-01-03 18:25:00,12380
2026-01-03 18:30:00,12040
2026-01-03 18:35:00,12880
2026-01-03 18:40:00,12540
2026-01-03 18:45:00,12540
2026-01-03 18:50:00,12810
2026-01-03 18:55:00,13010
2026-01-03 19:00:00,12060
2026-01-03 19:05:00,12530
2026-01-03 19:10:00,12860
2026-01-03 19:15:00,12720
2026-01-03 19:20:00,12700
2026-01-03 19:25:00,12350
2026-01-03 19:30:00,12490
2026-01-03 19:35:00,13030
2026-01-03 19:40:00,11670
2026-01-03 19:45:00,13080
2026-01-03 19:50:00,12720
2026-01-03 19:55:00,12540
2026-01-03 20:00:00,12720
2026-01-03 20:05:00,13380
2026-01-03 20:10:00,12580
2026-01-03 20:15:00,12280
2026-01-03 20:20:00,13300
2026-01-03 20:25:00,12830
2026-01-03 20:30:00,12880
2026-01-03 20:35:00,12260
2026-01-03 20:40:00,12350
2026-01-03 20:45:00,13720
2026-01-03 20:50:00,13720
2026-01-03 20:55:00,13050
2026-01-03 21:00:00,12580
2026-01-03 21:05:00,12420
2026-01-03 21:10:00,13200
2026-01-03 21:15:00,12760
2026-01-03 21:20:00,13380
2026-01-03 21:25:00,13120
2026-01-03 21:30:00,13310
2026-01-03 21:35:00,13080
2026-01-03 21:40:00,13400
2026-01-03 21:45:00,12720
2026-01-03 21:50:00,12170
2026-01-03 21:55:00,13380
2026-01-03 22:00:00,12920
2026-01-03 22:05:00,13260
2026-01-03 22:10:00,12380
2026-01-03 22:15:00,12760
2026-01-03 22:20:00,13580
2026-01-03 22:25:00,12750
2026-01-03 22:30:00,13580
2026-01-03 22:35:00,13380
2026-01-03 22:40:00,13240
2026-01-03 22:45:00,12920
2026-01-03 22:50:00,13490
2026-01-03 22:55:00,13700
2026-01-03 23:00:00,13580
2026-01-03 23:05:00,13480
2026-01-03 23:10:00,13700
2026-01-03 23:15:00,12900
2026-01-03 23:20:00,13080
2026-01-03 23:25:00,13220
2026-01-03 23:30:00,12920
2026-01-03 23:35:00,13310
2026-01-03 23:40:00,12680
2026-01-03 23:45:00,12600
2026-01-03 23:50:00,13080
2026-01-03 23:55:00,15480
2026-01-04 00:00:00,12560
2026-01-04 00:05:00,12540
2026-01-04 00:10:00,12300
2026-01-04 00:15:00,12880
2026-01-04 00:20:00,12040
2026-01-04 00:25:00,12040
2026-01-04 00:30:00,12060
2026-01-04 00:35:00,13040
2026-01-04 00:40:00,12740
2026-01-04 00:45:00,12720
2026-01-04 00:50:00,12540
2026-01-04 00:55:00,12880
2026-01-04 01:00:00,12480
2026-01-04 01:05:00,12300
2026-01-04 01:10:00,12280
2026-01-04 01:15:00,12720
2026-01-04 01:20:00,12580
2026-01-04 01:25:00,12720
2026-01-04 01:30:00,12380
2026-01-04 01:35:00,13380
2026-01-04 01:40:00,12620
2026-01-04 01:45:00,12970
2026-01-04 01:50:00,12620
2026-01-04 01:55:00,13260
2026-01-04 02:00:00,12780
2026-01-04 02:05:00,12720
2026-01-04 02:10:00,12140
2026-01-04 02:15:00,12920
2026-01-04 02:20:00,12760
2026-01-04 02:25:00,12780
2026-01-04 02:30:00,12420
2026-01-04 02:35:00,12900
2026-01-04 02:40:00,12920
2026-01-04 02:45:00,13380
2026-01-04 02:50:00,13080
2026-01-04 02:55:00,13300
2026-01-04 03:00:00,13180
2026-01-04 03:05:00,12460
2026-01-04 03:10:00,13420
2026-01-04 03:15:00,13260
2026-01-04 03:20:00,12920
2026-01-04 03:25:00,12600
2026-01-04 03:30:00,12700
2026-01-04 03:35:00,13100
2026-01-04 03:40:00,12580
2026-01-04 03:45:00,13720
2026-01-04 03:50:00,12770
2026-01-04 03:55:00,12880
2026-01-04 04:00:00,12920
2026-01-04 04:05:00,12600
2026-01-04 04:10:00,13260
2026-01-04 04:15:00,12750
2026-01-04 04:20:00,12600
2026-01-04 04:25:00,13250
2026-01-04 04:30:00,13260
2026-01-04 04:35:00,13260
2026-01-04 04:40:00,12520
2026-01-04 04:45:00,12990
2026-01-04 04:50:00,12740
2026-01-04 04:55:00,13080
2026-01-04 05:00:00,13100
2026-01-04 05:05:00,13260
2026-01-04 05:10:00,13400
2026-01-04 05:15:00,12860
2026-01-04 05:20:00,13580
2026-01-04 05:25:00,13560
2026-01-04 05:30:00,12560
2026-01-04 05:35:00,13130
2026-01-04 05:40:00,12990
2026-01-04 05:45:00,12580
2026-01-04 05:50:00,13700
2026-01-04 05:55:00,13580
2026-01-04 06:00:00,12780
2026-01-04 06:05:00,13100
2026-01-04 06:10:00,13040
2026-01-04 06:15:00,13060
2026-01-04 06:20:00,13560
2026-01-04 06:25:00,13310
2026-01-04 06:30:00,12720
2026-01-04 06:35:00,13150
2026-01-04 06:40:00,13240
2026-01-04 06:45:00,13580
2026-01-04 06:50:00,13380
2026-01-04 06:55:00,12120
2026-01-04 07:00:00,12900
2026-01-04 07:05:00,13700
2026-01-04 07:10:00,13100
2026-01-04 07:15:00,12600
2026-01-04 07:20:00,12900
2026-01-04 07:25:00,13190
2026-01-04 07:30:00,12900
2026-01-04 07:35:00,12780
2026-01-04 07:40:00,12990
2026-01-04 07:45:00,12730
2026-01-04 07:50:00,12830
2026-01-04 07:55:00,12920
2026-01-04 08:00:00,13720
2026-01-04 08:05:00,13150
2026-01-04 08:10:00,12580
2026-01-04 08:15:00,13380
2026-01-04 08:20:00,13100
2026-01-04 08:25:00,12780
2026-01-04 08:30:00,13250
2026-01-04 08:35:00,12900
2026-01-04 08:40:00,13260
2026-01-04 08:45:00,12920
2026-01-04 08:50:00,13100
2026-01-04 08:55:00,13240
2026-01-04 09:00:00,13040
2026-01-04 09:05:00,13580
2026-01-04 09:10:00,12900
2026-01-04 09:15:00,13260
2026-01-04 09:20:00,12920
2026-01-04 09:25:00,12720
2026-01-04 09:30:00,13560
2026-01-04 09:35:00,12900
2026-01-04 09:40:00,12900
2026-01-04 09:45:00,12900
2026-01-04 09:50:00,13100
2026-01-04 09:55:00,13090
2026-01-04 10:00:00,13090
2026-01-04 10:05:00,12840
2026-01-04 10:10:00,12760
2026-01-04 10:15:00,12990
2026-01-04 10:20:00,13410
2026-01-04 10:25:00,12520
2026-01-04 10:30:00,13580
2026-01-04 10:35:00,13060
2026-01-04 10:40:00,13380
2026-01-04 10:45:00,12750
2026-01-04 10:50:00,13580
2026-01-04 10:55:00,13580
2026-01-04 11:00:00,12980
2026-01-04 11:05:00,13260
2026-01-04 11:10:00,14120
2026-01-04 11:15:00,13470
2026-01-04 11:20:00,13320
2026-01-04 11:25:00,13100
2026-01-04 11:30:00,13090
2026-01-04 11:35:00,12920
2026-01-04 11:40:00,12920
2026-01-04 11:45:00,13640
2026-01-04 11:50:00,12400
2026-01-04 11:55:00,13700
2026-01-04 12:00:00,12920
2026-01-04 12:05:00,12920
2026-01-04 12:10:00,13580
2026-01-04 12:15:00,12600
2026-01-04 12:20:00,12120
2026-01-04 12:25:00,13180
2026-01-04 12:30:00,13720
2026-01-04 12:35:00,13580
2026-01-04 12:40:00,13700
2026-01-04 12:45:00,13710
2026-01-04 12:50:00,13140
2026-01-04 12:55:00,13240
2026-01-04 13:00:00,13240
2026-01-04 13:05:00,13140
2026-01-04 13:10:00,13660
2026-01-04 13:15:00,13010
2026-01-04 13:20:00,12600
2026-01-04 13:25:00,13140
2026-01-04 13:30:00,12560
2026-01-04 13:35:00,12580
2026-01-04 13:40:00,12840
2026-01-04 13:45:00,13240
2026-01-04 13:50:00,13040
2026-01-04 13:55:00,12920
2026-01-04 14:00:00,13380
2026-01-04 14:05:00,13300
2026-01-04 14:10:00,13110
2026-01-04 14:15:00,12780
2026-01-04 14:20:00,13300
2026-01-04 14:25:00,12910
2026-01-04 14:30:00,13380
2026-01-04 14:35:00,13580
2026-01-04 14:40:00,12900
2026-01-04 14:45:00,12580
2026-01-04 14:50:00,13700
2026-01-04 14:55:00,13180
2026-01-04 15:00:00,13700
2026-01-04 15:05:00,13380
2026-01-04 15:10:00,13230
2026-01-04 15:15:00,13340
2026-01-04 15:20:00,12780
2026-01-04 15:25:00,13340
2026-01-04 15:30:00,12920
2026-01-04 15:35:00,12920
2026-01-04 15:40:00,13720
2026-01-04 15:45:00,13700
2026-01-04 15:50:00,12780
2026-01-04 15:55:00,12900
2026-01-04 16:00:00,13060
2026-01-04 16:05:00,13060
2026-01-04 16:10:00,12650
2026-01-04 16:15:00,13220
2026-01-04 16:20:00,13220
2026-01-04 16:25:00,12920
2026-01-04 16:30:00,13100
2026-01-04 16:35:00,12920
2026-01-04 16:40:00,13060
2026-01-04 16:45:00,13340
2026-01-04 16:50:00,13260
2026-01-04 16:55:00,13540
2026-01-04 17:00:00,12920
2026-01-04 17:05:00,13400
2026-01-04 17:10:00,13320
2026-01-04 17:15:00,13310
2026-01-04 17:20:00,12920
2026-01-04 17:25:00,13260
2026-01-04 17:30:00,12600
2026-01-04 17:35:00,12780
2026-01-04 17:40:00,13380
2026-01-04 17:45:00,12580
2026-01-04 17:50:00,13160
2026-01-04 17:55:00,13260
2026-01-04 18:00:00,13240
2026-01-04 18:05:00,13380
2026-01-04 18:10:00,13540
2026-01-04 18:15:00,13240
2026-01-04 18:20:00,13580
2026-01-04 18:25:00,12900
2026-01-04 18:30:00,13380
2026-01-04 18:35:00,13380
2026-01-04 18:40:00,12760
2026-01-04 18:45:00,12780
2026-01-04 18:50:00,12690
2026-01-04 18:55:00,13550
2026-01-04 19:00:00,12900
2026-01-04 19:05:00,13010
2026-01-04 19:10:00,13580
2026-01-04 19:15:00,13240
2026-01-04 19:20:00,13550
2026-01-04 19:25:00,13580
2026-01-04 19:30:00,13720
2026-01-04 19:35:00,13320
2026-01-04 19:40:00,13340
2026-01-04 19:45:00,13580
2026-01-04 19:50:00,13140
2026-01-04 19:55:00,12920
2026-01-04 20:00:00,12510
2026-01-04 20:05:00,12920
2026-01-04 20:10:00,13770
2026-01-04 20:15:00,13240
2026-01-04 20:20:00,12920
2026-01-04 20:25:00,12920
2026-01-04 20:30:00,13180
2026-01-04 20:35:00,13640
2026-01-04 20:40:00,13380
2026-01-04 20:45:00,13720
2026-01-04 20:50:00,13160
2026-01-04 20:55:00,13160
2026-01-04 21:00:00,12780
2026-01-04 21:05:00,13420
2026-01-04 21:10:00,13720
2026-01-04 21:15:00,13180
2026-01-04 21:20:00,13380
2026-01-04 21:25:00,12910
2026-01-04 21:30:00,12840
2026-01-04 21:35:00,13310
2026-01-04 21:40:00,13340
2026-01-04 21:45:00,13260
2026-01-04 21:50:00,13580
2026-01-04 21:55:00,12580
2026-01-04 22:00:00,13010
2026-01-04 22:05:00,13240
2026-01-04 22:10:00,13580
2026-01-04 22:15:00,12720
2026-01-04 22:20:00,13260
2026-01-04 22:25:00,12600
2026-01-04 22:30:00,13240
2026-01-04 22:35:00,12910
2026-01-04 22:40:00,13720
2026-01-04 22:45:00,12750
2026-01-04 22:50:00,12920
2026-01-04 22:55:00,13580
2026-01-04 23:00:00,13320
2026-01-04 23:05:00,12850
2026-01-04 23:10:00,13920
2026-01-04 23:15:00,13720
2026-01-04 23:20:00,13010
2026-01-04 23:25:00,12580
2026-01-04 23:30:00,13240
2026-01-04 23:35:00,13380
2026-01-04 23:40:00,13720
2026-01-04 23:45:00,13100
2026-01-04 23:50:00,12900
2026-01-04 23:55:00,13550
2026-01-05 00:00:00,13340
2026-01-05 00:05:00,13000
2026-01-05 00:10:00,13240
2026-01-05 00:15:00,12920
2026-01-05 00:20:00,13380
2026-01-05 00:25:00,13580
2026-01-05 00:30:00,12750
2026-01-05 00:35:00,13260
2026-01-05 00:40:00,13490
2026-01-05 00:45:00,13320
2026-01-05 00:50:00,13490
2026-01-05 00:55:00,13120
2026-01-05 01:00:00,13100
2026-01-05 01:05:00,12920
2026-01-05 01:10:00,12920
2026-01-05 01:15:00,12780
2026-01-05 01:20:00,13090
2026-01-05 01:25:00,12120
2026-01-05 01:30:00,13220
2026-01-05 01:35:00,12910
2026-01-05 01:40:00,13010
2026-01-05 01:45:00,13380
2026-01-05 01:50:00,13100
2026-01-05 01:55:00,13380
2026-01-05 02:00:00,13240
2026-01-05 02:05:00,13580
2026-01-05 02:10:00,13090
2026-01-05 02:15:00,13600
2026-01-05 02:20:00,13260
2026-01-05 02:25:00,13260
2026-01-05 02:30:00,13090
2026-01-05 02:35:00,12580
2026-01-05 02:40:00,12780
2026-01-05 02:45:00,13580
2026-01-05 02:50:00,13640
2026-01-05 02:55:00,12980
2026-01-05 03:00:00,13100
2026-01-05 03:05:00,13100
2026-01-05 03:10:00,13260
2026-01-05 03:15:00,12920
2026-01-05 03:20:00,13470
2026-01-05 03:25:00,12600
2026-01-05 03:30:00,13580
2026-01-05 03:35:00,13700
2026-01-05 03:40:00,13640
2026-01-05 03:45:00,12920
