"Time","gateway1","scheduler","worker1","worker3","worker4","worker6"
2026-01-05 15:20:00,4.80 kb/s,18.5 kb/s,103 Mb/s,306 Mb/s,105 Mb/s,103 Mb/s
2026-01-05 15:25:00,4.66 kb/s,19.1 kb/s,107 Mb/s,323 Mb/s,105 Mb/s,107 Mb/s
2026-01-05 15:30:00,4.29 kb/s,18.3 kb/s,105 Mb/s,319 Mb/s,107 Mb/s,107 Mb/s
2026-01-05 15:35:00,4.48 kb/s,18.6 kb/s,110 Mb/s,325 Mb/s,110 Mb/s,108 Mb/s
2026-01-05 15:40:00,4.59 kb/s,18.8 kb/s,104 Mb/s,315 Mb/s,103 Mb/s,104 Mb/s
2026-01-05 15:45:00,4.87 kb/s,18.9 kb/s,105 Mb/s,315 Mb/s,107 Mb/s,105 Mb/s
2026-01-05 15:50:00,4.48 kb/s,18.4 kb/s,105 Mb/s,315 Mb/s,105 Mb/s,105 Mb/s
2026-01-05 15:55:00,4.78 kb/s,18.5 kb/s,107 Mb/s,319 Mb/s,106 Mb/s,107 Mb/s
2026-01-05 16:00:00,4.91 kb/s,18.9 kb/s,107 Mb/s,324 Mb/s,109 Mb/s,107 Mb/s
2026-01-05 16:05:00,4.46 kb/s,18.9 kb/s,112 Mb/s,332 Mb/s,110 Mb/s,112 Mb/s
2026-01-05 16:10:00,4.55 kb/s,18.2 kb/s,107 Mb/s,319 Mb/s,107 Mb/s,107 Mb/s
2026-01-05 16:15:00,4.74 kb/s,18.2 kb/s,110 Mb/s,334 Mb/s,110 Mb/s,110 Mb/s
2026-01-05 16:20:00,4.71 kb/s,18.8 kb/s,105 Mb/s,317 Mb/s,107 Mb/s,105 Mb/s
2026-01-05 16:25:00,4.48 kb/s,18.8 kb/s,109 Mb/s,307 Mb/s,101 Mb/s,109 Mb/s
2026-01-05 16:30:00,4.43 kb/s,18.5 kb/s,107 Mb/s,323 Mb/s,106 Mb/s,107 Mb/s
2026-01-05 16:35:00,4.55 kb/s,18.1 kb/s,105 Mb/s,315 Mb/s,107 Mb/s,107 Mb/s
2026-01-05 16:40:00,4.54 kb/s,18.8 kb/s,107 Mb/s,320 Mb/s,107 Mb/s,105 Mb/s
2026-01-05 16:45:00,4.66 kb/s,18.9 kb/s,112 Mb/s,335 Mb/s,119 Mb/s,112 Mb/s
2026-01-05 16:50:00,4.22 kb/s,18.3 kb/s,107 Mb/s,321 Mb/s,107 Mb/s,107 Mb/s
2026-01-05 16:55:00,4.78 kb/s,18.5 kb/s,105 Mb/s,318 Mb/s,106 Mb/s,105 Mb/s
2026-01-05 17:00:00,4.89 kb/s,18.6 kb/s,105 Mb/s,316 Mb/s,106 Mb/s,105 Mb/s
2026-01-05 17:05:00,5.22 kb/s,19.2 kb/s,103 Mb/s,306 Mb/s,100 Mb/s,103 Mb/s
2026-01-05 17:10:00,4.64 kb/s,18.2 kb/s,105 Mb/s,317 Mb/s,107 Mb/s,105 Mb/s
2026-01-05 17:15:00,4.31 kb/s,18.2 kb/s,105 Mb/s,315 Mb/s,105 Mb/s,105 Mb/s
2026-01-05 17:20:00,4.91 kb/s,18.5 kb/s,104 Mb/s,308 Mb/s,103 Mb/s,103 Mb/s
2026-01-05 17:25:00,4.79 kb/s,18.5 kb/s,108 Mb/s,324 Mb/s,107 Mb/s,109 Mb/s
2026-01-05 17:30:00,4.63 kb/s,18.9 kb/s,103 Mb/s,312 Mb/s,105 Mb/s,103 Mb/s
2026-01-05 17:35:00,4.98 kb/s,18.1 kb/s,110 Mb/s,322 Mb/s,107 Mb/s,110 Mb/s
2026-01-05 17:40:00,4.77 kb/s,19.3 kb/s,106 Mb/s,322 Mb/s,107 Mb/s,105 Mb/s
2026-01-05 17:45:00,4.83 kb/s,18.6 kb/s,103 Mb/s,314 Mb/s,103 Mb/s,105 Mb/s
2026-01-05 17:50:00,4.84 kb/s,18.3 kb/s,100 Mb/s,301 Mb/s,100 Mb/s,100 Mb/s
2026-01-05 17:55:00,4.87 kb/s,18.0 kb/s,103 Mb/s,302 Mb/s,103 Mb/s,103 Mb/s
2026-01-05 18:00:00,4.51 kb/s,5.15 kb/s,16.7 Mb/s,56.1 Mb/s,16.7 Mb/s,16.7 Mb/s
