"Time","sum:","sum:r600w4p2_f3_d10_20b200l1td40_100ts10_4tl300_tb100_worker4_worker8_worker7_worker9/gateway","sum:r600w4p2_f3_d10_20b200l1td40_100ts10_4tl300_tb100_worker4_worker8_worker7_worker9/worker1","sum:r600w4p2_f3_d10_20b200l1td40_100ts10_4tl300_tb100_worker4_worker8_worker7_worker9/worker10","sum:r600w4p2_f3_d10_20b200l1td40_100ts10_4tl300_tb100_worker4_worker8_worker7_worker9/worker2","sum:r600w4p2_f3_d10_20b200l1td40_100ts10_4tl300_tb100_worker4_worker8_worker7_worker9/worker3","sum:r600w4p2_f3_d10_20b200l1td40_100ts10_4tl300_tb100_worker4_worker8_worker7_worker9/worker4","sum:r600w4p2_f3_d10_20b200l1td40_100ts10_4tl300_tb100_worker4_worker8_worker7_worker9/worker5","sum:r600w4p2_f3_d10_20b200l1td40_100ts10_4tl300_tb100_worker4_worker8_worker7_worker9/worker6","sum:r600w4p2_f3_d10_20b200l1td40_100ts10_4tl300_tb100_worker4_worker8_worker7_worker9/worker7","sum:r600w4p2_f3_d10_20b200l1td40_100ts10_4tl300_tb100_worker4_worker8_worker7_worker9/worker8","sum:r600w4p2_f3_d10_20b200l1td40_100ts10_4tl300_tb100_worker4_worker8_worker7_worker9/worker9"
2026-01-06 20:57:00,780 kB,741 kB,26.2 MB,12.9 MB,559 kB,697 kB,719 kB,8.21 MB,8.94 MB,702 kB,13.0 MB,643 kB
2026-01-06 20:58:00,1.22 MB,790 kB,29.7 MB,13.7 MB,635 kB,740 kB,762 kB,9.16 MB,9.74 MB,747 kB,13.9 MB,686 kB
2026-01-06 20:59:00,1.54 MB,799 kB,50.6 MB,256 kB,680 kB,754 kB,776 kB,15.6 MB,3.56 MB,8.43 MB,21.5 MB,699 kB
2026-01-06 21:00:00,1.68 MB,819 kB,220 kB,275 kB,722 kB,772 kB,794 kB,15.6 MB,7.44 MB,8.55 MB,21.6 MB,716 kB
2026-01-06 21:01:00,1.95 MB,884 kB,220 kB,295 kB,722 kB,6.87 MB,863 kB,17.2 MB,7.47 MB,10.3 MB,23.3 MB,731 kB
2026-01-06 21:02:00,2.70 MB,1.22 MB,315 kB,458 kB,385 kB,45.3 MB,1.14 MB,27.5 MB,15.2 MB,21.2 MB,36.1 MB,396 kB
2026-01-06 21:03:00,3.22 MB,1.25 MB,328 kB,467 kB,426 kB,83.4 MB,1.17 MB,37.1 MB,24.9 MB,31.6 MB,45.6 MB,413 kB
2026-01-06 21:04:00,3.73 MB,1.26 MB,350 kB,607 kB,484 kB,113 MB,1.18 MB,44.7 MB,35.1 MB,39.2 MB,53.2 MB,430 kB
2026-01-06 21:05:00,4.23 MB,1.29 MB,360 kB,615 kB,525 kB,139 MB,1.19 MB,51.1 MB,41.0 MB,45.9 MB,59.6 MB,438 kB
2026-01-06 21:06:00,4.74 MB,1.33 MB,396 kB,651 kB,592 kB,178 MB,346 kB,61.2 MB,49.6 MB,55.9 MB,69.7 MB,479 kB
