"Time","in:r600w4p2_f3_d10_20b200l1td40_100ts10_4tl300_tb100_worker4_worker8_worker7_worker9","out:r600w4p2_f3_d10_20b200l1td40_100ts10_4tl300_tb100_worker4_worker8_worker7_worker9","sum:r600w4p2_f3_d10_20b200l1td40_100ts10_4tl300_tb100_worker4_worker8_worker7_worker9"
2026-01-06 20:57:00,44.2 MB,29.8 MB,74.0 MB
2026-01-06 20:58:00,47.8 MB,34.0 MB,81.7 MB
2026-01-06 20:59:00,58.8 MB,46.4 MB,105 MB
2026-01-06 21:00:00,36.3 MB,22.9 MB,59.2 MB
2026-01-06 21:01:00,41.8 MB,29.0 MB,70.8 MB
2026-01-06 21:02:00,84.8 MB,67.1 MB,152 MB
2026-01-06 21:03:00,125 MB,105 MB,230 MB
2026-01-06 21:04:00,157 MB,137 MB,294 MB
2026-01-06 21:05:00,183 MB,162 MB,345 MB
2026-01-06 21:06:00,222 MB,201 MB,423 MB
2026-01-06 21:07:00,229 MB,207 MB,436 MB
2026-01-06 21:08:00,168 MB,152 MB,320 MB
2026-01-06 21:09:00,171 MB,153 MB,324 MB
2026-01-06 21:10:00,139 MB,127 MB,266 MB
2026-01-06 21:11:00,144 MB,129 MB,273 MB
2026-01-06 21:12:00,171 MB,151 MB,322 MB
2026-01-06 21:13:00,195 MB,174 MB,369 MB
2026-01-06 21:14:00,210 MB,189 MB,399 MB
2026-01-06 21:15:00,212 MB,190 MB,402 MB
2026-01-06 21:16:00,202 MB,183 MB,385 MB
2026-01-06 21:17:00,223 MB,201 MB,424 MB
2026-01-06 21:18:00,260 MB,236 MB,496 MB
2026-01-06 21:19:00,113 MB,89.3 MB,202 MB
2026-01-06 21:20:00,89.0 MB,73.5 MB,163 MB
2026-01-06 21:21:00,91.9 MB,75.7 MB,168 MB
2026-01-06 21:22:00,82.2 MB,68.7 MB,151 MB
2026-01-06 21:23:00,29.7 MB,22.2 MB,51.9 MB
2026-01-06 21:24:00,30.5 MB,23.3 MB,53.8 MB
2026-01-06 21:25:00,46.1 MB,38.2 MB,84.2 MB
2026-01-06 21:26:00,65.3 MB,50.2 MB,115 MB
2026-01-06 21:27:00,51.3 MB,36.2 MB,87.6 MB
2026-01-06 21:28:00,44.1 MB,33.0 MB,77.1 MB
2026-01-06 21:29:00,46.6 MB,33.8 MB,80.4 MB
2026-01-06 21:30:00,47.1 MB,34.3 MB,81.4 MB
2026-01-06 21:31:00,47.9 MB,35.4 MB,83.3 MB
2026-01-06 21:32:00,49.0 MB,36.7 MB,85.7 MB
2026-01-06 21:33:00,49.6 MB,37.7 MB,87.3 MB
2026-01-06 21:34:00,50.1 MB,38.8 MB,89.0 MB
2026-01-06 21:35:00,50.7 MB,39.2 MB,89.9 MB
2026-01-06 21:36:00,51.3 MB,39.8 MB,91.1 MB
2026-01-06 21:37:00,52.5 MB,41.0 MB,93.6 MB
2026-01-06 21:38:00,52.9 MB,41.9 MB,94.8 MB
2026-01-06 21:39:00,54.0 MB,42.9 MB,97.0 MB
2026-01-06 21:40:00,54.8 MB,44.1 MB,98.9 MB
2026-01-06 21:41:00,55.2 MB,44.5 MB,99.7 MB
2026-01-06 21:42:00,56.4 MB,46.1 MB,102 MB
2026-01-06 21:43:00,55.6 MB,45.5 MB,101 MB
2026-01-06 21:44:00,36.5 MB,29.5 MB,66.0 MB
2026-01-06 21:45:00,37.9 MB,30.6 MB,68.5 MB
2026-01-06 21:46:00,61.4 MB,49.3 MB,111 MB
2026-01-06 21:47:00,93.8 MB,76.5 MB,170 MB
2026-01-06 21:48:00,116 MB,98.4 MB,214 MB
2026-01-06 21:49:00,137 MB,118 MB,255 MB
2026-01-06 21:50:00,137 MB,120 MB,257 MB
2026-01-06 21:51:00,128 MB,115 MB,243 MB
2026-01-06 21:52:00,143 MB,127 MB,270 MB
2026-01-06 21:53:00,146 MB,130 MB,276 MB
2026-01-06 21:54:00,147 MB,131 MB,278 MB
2026-01-06 21:55:00,96.0 MB,79.6 MB,176 MB
2026-01-06 21:56:00,99.2 MB,82.2 MB,181 MB
2026-01-06 21:57:00,101 MB,84.1 MB,185 MB
2026-01-06 21:58:00,81.2 MB,68.3 MB,149 MB
2026-01-06 21:59:00,85.8 MB,72.0 MB,158 MB
2026-01-06 22:00:00,87.9 MB,73.3 MB,161 MB
2026-01-06 22:01:00,87.0 MB,73.5 MB,160 MB
2026-01-06 22:02:00,96.2 MB,81.4 MB,178 MB
2026-01-06 22:03:00,99.4 MB,84.3 MB,184 MB
2026-01-06 22:04:00,90.2 MB,74.0 MB,164 MB
2026-01-06 22:05:00,106 MB,88.9 MB,195 MB
2026-01-06 22:06:00,126 MB,107 MB,233 MB
2026-01-06 22:07:00,135 MB,115 MB,250 MB
2026-01-06 22:08:00,105 MB,92.5 MB,197 MB
2026-01-06 22:09:00,86.3 MB,74.6 MB,161 MB
2026-01-06 22:10:00,107 MB,90.7 MB,197 MB
2026-01-06 22:11:00,117 MB,101 MB,217 MB
2026-01-06 22:12:00,98.4 MB,86.1 MB,184 MB
2026-01-06 22:13:00,108 MB,93.9 MB,202 MB
2026-01-06 22:14:00,118 MB,103 MB,221 MB
2026-01-06 22:15:00,118 MB,103 MB,220 MB
2026-01-06 22:16:00,118 MB,103 MB,221 MB
2026-01-06 22:17:00,118 MB,103 MB,222 MB
