"Time","in:resnet_50_145ac6a","out:resnet_50_145ac6a","sum:resnet_50_145ac6a"
2025-12-24 18:10:00,756 GB,253 GB,1.01 TB
2025-12-24 18:20:00,758 GB,255 GB,1.01 TB
2025-12-24 18:30:00,761 GB,257 GB,1.02 TB
2025-12-24 18:40:00,763 GB,259 GB,1.02 TB
2025-12-24 18:50:00,765 GB,261 GB,1.03 TB
2025-12-24 19:00:00,767 GB,264 GB,1.03 TB
2025-12-24 19:10:00,770 GB,266 GB,1.04 TB
2025-12-24 19:20:00,772 GB,268 GB,1.04 TB
2025-12-24 19:30:00,774 GB,270 GB,1.04 TB
2025-12-24 19:40:00,776 GB,272 GB,1.05 TB
2025-12-24 19:50:00,778 GB,275 GB,1.05 TB
2025-12-24 20:00:00,780 GB,277 GB,1.06 TB
2025-12-24 20:10:00,783 GB,279 GB,1.06 TB
2025-12-24 20:20:00,785 GB,281 GB,1.07 TB
2025-12-24 20:30:00,787 GB,284 GB,1.07 TB
2025-12-24 20:40:00,790 GB,286 GB,1.08 TB
2025-12-24 20:50:00,792 GB,288 GB,1.08 TB
2025-12-24 21:00:00,794 GB,291 GB,1.08 TB
2025-12-24 21:10:00,797 GB,293 GB,1.09 TB
2025-12-24 21:20:00,799 GB,295 GB,1.09 TB
2025-12-24 21:30:00,801 GB,298 GB,1.10 TB
2025-12-24 21:40:00,803 GB,300 GB,1.10 TB
2025-12-24 21:50:00,806 GB,302 GB,1.11 TB
2025-12-24 22:00:00,808 GB,304 GB,1.11 TB
2025-12-24 22:10:00,810 GB,307 GB,1.12 TB
2025-12-24 22:20:00,812 GB,309 GB,1.12 TB
2025-12-24 22:30:00,815 GB,311 GB,1.13 TB
2025-12-24 22:40:00,817 GB,313 GB,1.13 TB
2025-12-24 22:50:00,819 GB,315 GB,1.13 TB
2025-12-24 23:00:00,821 GB,318 GB,1.14 TB
2025-12-24 23:10:00,824 GB,320 GB,1.14 TB
2025-12-24 23:20:00,826 GB,322 GB,1.15 TB
2025-12-24 23:30:00,828 GB,325 GB,1.15 TB
2025-12-24 23:40:00,831 GB,327 GB,1.16 TB
2025-12-24 23:50:00,833 GB,329 GB,1.16 TB
2025-12-25 00:00:00,835 GB,331 GB,1.17 TB
2025-12-25 00:10:00,837 GB,334 GB,1.17 TB
2025-12-25 00:20:00,840 GB,336 GB,1.18 TB
2025-12-25 00:30:00,842 GB,338 GB,1.18 TB
2025-12-25 00:40:00,844 GB,340 GB,1.18 TB
2025-12-25 00:50:00,846 GB,343 GB,1.19 TB
2025-12-25 01:00:00,849 GB,345 GB,1.19 TB
2025-12-25 01:10:00,851 GB,347 GB,1.20 TB
2025-12-25 01:20:00,853 GB,350 GB,1.20 TB
2025-12-25 01:30:00,856 GB,352 GB,1.21 TB
2025-12-25 01:40:00,858 GB,354 GB,1.21 TB
2025-12-25 01:50:00,860 GB,356 GB,1.22 TB
2025-12-25 02:00:00,862 GB,359 GB,1.22 TB
2025-12-25 02:10:00,865 GB,361 GB,1.23 TB
2025-12-25 02:20:00,867 GB,363 GB,1.23 TB
2025-12-25 02:30:00,869 GB,366 GB,1.23 TB
2025-12-25 02:40:00,872 GB,368 GB,1.24 TB
2025-12-25 02:50:00,874 GB,370 GB,1.24 TB
2025-12-25 03:00:00,876 GB,373 GB,1.25 TB
2025-12-25 03:10:00,878 GB,375 GB,1.25 TB
2025-12-25 03:20:00,881 GB,377 GB,1.26 TB
2025-12-25 03:30:00,883 GB,379 GB,1.26 TB
2025-12-25 03:40:00,885 GB,382 GB,1.27 TB
2025-12-25 03:50:00,888 GB,384 GB,1.27 TB
2025-12-25 04:00:00,890 GB,386 GB,1.28 TB
2025-12-25 04:10:00,892 GB,389 GB,1.28 TB
2025-12-25 04:20:00,895 GB,391 GB,1.29 TB
2025-12-25 04:30:00,897 GB,393 GB,1.29 TB
2025-12-25 04:40:00,899 GB,395 GB,1.29 TB
2025-12-25 04:50:00,901 GB,398 GB,1.30 TB
2025-12-25 05:00:00,904 GB,400 GB,1.30 TB
2025-12-25 05:10:00,906 GB,402 GB,1.31 TB
2025-12-25 05:20:00,908 GB,405 GB,1.31 TB
2025-12-25 05:30:00,911 GB,407 GB,1.32 TB
2025-12-25 05:40:00,913 GB,409 GB,1.32 TB
2025-12-25 05:50:00,915 GB,412 GB,1.33 TB
2025-12-25 06:00:00,918 GB,414 GB,1.33 TB
2025-12-25 06:10:00,920 GB,416 GB,1.34 TB
2025-12-25 06:20:00,922 GB,418 GB,1.34 TB
2025-12-25 06:30:00,924 GB,421 GB,1.34 TB
2025-12-25 06:40:00,926 GB,423 GB,1.35 TB
2025-12-25 06:50:00,929 GB,425 GB,1.35 TB
2025-12-25 07:00:00,931 GB,427 GB,1.36 TB
2025-12-25 07:10:00,933 GB,430 GB,1.36 TB
2025-12-25 07:20:00,935 GB,432 GB,1.37 TB
2025-12-25 07:30:00,938 GB,434 GB,1.37 TB
2025-12-25 07:40:00,940 GB,436 GB,1.38 TB
2025-12-25 07:50:00,942 GB,438 GB,1.38 TB
2025-12-25 08:00:00,944 GB,441 GB,1.38 TB
2025-12-25 08:10:00,946 GB,443 GB,1.39 TB
2025-12-25 08:20:00,949 GB,445 GB,1.39 TB
2025-12-25 08:30:00,951 GB,447 GB,1.40 TB
2025-12-25 08:40:00,953 GB,449 GB,1.40 TB
2025-12-25 08:50:00,955 GB,452 GB,1.41 TB
2025-12-25 09:00:00,957 GB,454 GB,1.41 TB
2025-12-25 09:10:00,960 GB,456 GB,1.42 TB
2025-12-25 09:20:00,962 GB,458 GB,1.42 TB
2025-12-25 09:30:00,964 GB,460 GB,1.42 TB
2025-12-25 09:40:00,966 GB,463 GB,1.43 TB
2025-12-25 09:50:00,968 GB,465 GB,1.43 TB
2025-12-25 10:00:00,971 GB,467 GB,1.44 TB
2025-12-25 10:10:00,973 GB,469 GB,1.44 TB
2025-12-25 10:20:00,975 GB,471 GB,1.45 TB
2025-12-25 10:30:00,977 GB,473 GB,1.45 TB
2025-12-25 10:40:00,979 GB,476 GB,1.45 TB
2025-12-25 10:50:00,981 GB,478 GB,1.46 TB
2025-12-25 11:00:00,984 GB,480 GB,1.46 TB
2025-12-25 11:10:00,986 GB,482 GB,1.47 TB
2025-12-25 11:20:00,988 GB,484 GB,1.47 TB
2025-12-25 11:30:00,990 GB,486 GB,1.48 TB
2025-12-25 11:40:00,992 GB,489 GB,1.48 TB
2025-12-25 11:50:00,994 GB,491 GB,1.49 TB
2025-12-25 12:00:00,997 GB,493 GB,1.49 TB
2025-12-25 12:10:00,999 GB,495 GB,1.49 TB
2025-12-25 12:20:00,1.00 TB,497 GB,1.50 TB
2025-12-25 12:30:00,1.00 TB,500 GB,1.50 TB
2025-12-25 12:40:00,1.01 TB,502 GB,1.51 TB
2025-12-25 12:50:00,1.01 TB,504 GB,1.51 TB
2025-12-25 13:00:00,1.01 TB,506 GB,1.52 TB
2025-12-25 13:10:00,1.01 TB,508 GB,1.52 TB
2025-12-25 13:20:00,1.01 TB,511 GB,1.52 TB
2025-12-25 13:30:00,1.02 TB,513 GB,1.53 TB
2025-12-25 13:40:00,1.02 TB,515 GB,1.53 TB
2025-12-25 13:50:00,1.02 TB,517 GB,1.54 TB
2025-12-25 14:00:00,1.02 TB,519 GB,1.54 TB
2025-12-25 14:10:00,1.03 TB,522 GB,1.55 TB
2025-12-25 14:20:00,1.03 TB,524 GB,1.55 TB
2025-12-25 14:30:00,1.03 TB,526 GB,1.56 TB
2025-12-25 14:40:00,1.03 TB,528 GB,1.56 TB
2025-12-25 14:50:00,1.03 TB,530 GB,1.56 TB
2025-12-25 15:00:00,1.04 TB,533 GB,1.57 TB
2025-12-25 15:10:00,1.04 TB,535 GB,1.57 TB
2025-12-25 15:20:00,1.04 TB,537 GB,1.58 TB
2025-12-25 15:30:00,1.04 TB,539 GB,1.58 TB
2025-12-25 15:40:00,1.05 TB,542 GB,1.59 TB
2025-12-25 15:50:00,1.05 TB,544 GB,1.59 TB
2025-12-25 16:00:00,1.05 TB,546 GB,1.60 TB
2025-12-25 16:10:00,1.05 TB,548 GB,1.60 TB
2025-12-25 16:20:00,1.05 TB,550 GB,1.60 TB
2025-12-25 16:30:00,1.06 TB,552 GB,1.61 TB
2025-12-25 16:40:00,1.06 TB,554 GB,1.61 TB
2025-12-25 16:50:00,1.06 TB,557 GB,1.62 TB
2025-12-25 17:00:00,1.06 TB,559 GB,1.62 TB
2025-12-25 17:10:00,1.06 TB,561 GB,1.63 TB
2025-12-25 17:20:00,1.07 TB,563 GB,1.63 TB
2025-12-25 17:30:00,1.07 TB,565 GB,1.63 TB
2025-12-25 17:40:00,1.07 TB,567 GB,1.64 TB
2025-12-25 17:50:00,1.07 TB,569 GB,1.64 TB
2025-12-25 18:00:00,1.08 TB,572 GB,1.65 TB
2025-12-25 18:10:00,1.08 TB,574 GB,1.65 TB
2025-12-25 18:20:00,1.08 TB,576 GB,1.66 TB
2025-12-25 18:30:00,1.08 TB,578 GB,1.66 TB
2025-12-25 18:40:00,1.08 TB,580 GB,1.66 TB
2025-12-25 18:50:00,1.09 TB,583 GB,1.67 TB
2025-12-25 19:00:00,1.09 TB,585 GB,1.67 TB
2025-12-25 19:10:00,1.09 TB,587 GB,1.68 TB
2025-12-25 19:20:00,1.09 TB,589 GB,1.68 TB
2025-12-25 19:30:00,1.10 TB,591 GB,1.69 TB
2025-12-25 19:40:00,1.10 TB,594 GB,1.69 TB
2025-12-25 19:50:00,1.10 TB,596 GB,1.70 TB
2025-12-25 20:00:00,1.10 TB,598 GB,1.70 TB
2025-12-25 20:10:00,1.10 TB,600 GB,1.70 TB
2025-12-25 20:20:00,1.11 TB,602 GB,1.71 TB
2025-12-25 20:30:00,1.11 TB,605 GB,1.71 TB
2025-12-25 20:40:00,1.11 TB,607 GB,1.72 TB
2025-12-25 20:50:00,1.11 TB,609 GB,1.72 TB
2025-12-25 21:00:00,1.12 TB,611 GB,1.73 TB
2025-12-25 21:10:00,1.12 TB,614 GB,1.73 TB
2025-12-25 21:20:00,1.12 TB,616 GB,1.74 TB
2025-12-25 21:30:00,1.12 TB,618 GB,1.74 TB
2025-12-25 21:40:00,1.12 TB,620 GB,1.74 TB
2025-12-25 21:50:00,1.13 TB,622 GB,1.75 TB
2025-12-25 22:00:00,1.13 TB,624 GB,1.75 TB
2025-12-25 22:10:00,1.13 TB,626 GB,1.76 TB
2025-12-25 22:20:00,1.13 TB,629 GB,1.76 TB
2025-12-25 22:30:00,1.13 TB,631 GB,1.77 TB
2025-12-25 22:40:00,1.14 TB,633 GB,1.77 TB
2025-12-25 22:50:00,1.14 TB,636 GB,1.77 TB
2025-12-25 23:00:00,1.14 TB,638 GB,1.78 TB
2025-12-25 23:10:00,1.14 TB,640 GB,1.78 TB
2025-12-25 23:20:00,1.15 TB,642 GB,1.79 TB
2025-12-25 23:30:00,1.15 TB,644 GB,1.79 TB
2025-12-25 23:40:00,1.15 TB,647 GB,1.80 TB
2025-12-25 23:50:00,1.15 TB,649 GB,1.80 TB
2025-12-26 00:00:00,1.15 TB,651 GB,1.81 TB
2025-12-26 00:10:00,1.16 TB,653 GB,1.81 TB
2025-12-26 00:20:00,1.16 TB,656 GB,1.81 TB
2025-12-26 00:30:00,1.16 TB,658 GB,1.82 TB
2025-12-26 00:40:00,1.16 TB,660 GB,1.82 TB
2025-12-26 00:50:00,1.17 TB,662 GB,1.83 TB
2025-12-26 01:00:00,1.17 TB,665 GB,1.83 TB
2025-12-26 01:10:00,1.17 TB,667 GB,1.84 TB
2025-12-26 01:20:00,1.17 TB,669 GB,1.84 TB
2025-12-26 01:30:00,1.18 TB,671 GB,1.85 TB
2025-12-26 01:40:00,1.18 TB,674 GB,1.85 TB
2025-12-26 01:50:00,1.18 TB,676 GB,1.86 TB
2025-12-26 02:00:00,1.18 TB,678 GB,1.86 TB
2025-12-26 02:10:00,1.18 TB,680 GB,1.86 TB
2025-12-26 02:20:00,1.19 TB,683 GB,1.87 TB
2025-12-26 02:30:00,1.19 TB,685 GB,1.87 TB
2025-12-26 02:40:00,1.19 TB,687 GB,1.88 TB
2025-12-26 02:50:00,1.19 TB,690 GB,1.88 TB
2025-12-26 03:00:00,1.20 TB,692 GB,1.89 TB
2025-12-26 03:10:00,1.20 TB,694 GB,1.89 TB
2025-12-26 03:20:00,1.20 TB,696 GB,1.90 TB
2025-12-26 03:30:00,1.20 TB,699 GB,1.90 TB
2025-12-26 03:40:00,1.20 TB,701 GB,1.91 TB
2025-12-26 03:50:00,1.21 TB,703 GB,1.91 TB
2025-12-26 04:00:00,1.21 TB,705 GB,1.91 TB
2025-12-26 04:10:00,1.21 TB,708 GB,1.92 TB
2025-12-26 04:20:00,1.21 TB,710 GB,1.92 TB
2025-12-26 04:30:00,1.22 TB,712 GB,1.93 TB
2025-12-26 04:40:00,1.22 TB,714 GB,1.93 TB
2025-12-26 04:50:00,1.22 TB,717 GB,1.94 TB
2025-12-26 05:00:00,1.22 TB,719 GB,1.94 TB
2025-12-26 05:10:00,1.22 TB,721 GB,1.95 TB
2025-12-26 05:20:00,1.23 TB,723 GB,1.95 TB
2025-12-26 05:30:00,1.23 TB,726 GB,1.95 TB
2025-12-26 05:40:00,1.23 TB,728 GB,1.96 TB
2025-12-26 05:50:00,1.23 TB,730 GB,1.96 TB
2025-12-26 06:00:00,1.24 TB,732 GB,1.97 TB
