"Time","in:resnet_50_145ac6a","out:resnet_50_145ac6a","sum:resnet_50_145ac6a"
2025-12-27 02:40:00,1.74 TB,1.15 TB,2.89 TB
2025-12-27 02:50:00,1.74 TB,1.15 TB,2.90 TB
2025-12-27 03:00:00,1.75 TB,1.16 TB,2.90 TB
2025-12-27 03:10:00,1.75 TB,1.16 TB,2.91 TB
2025-12-27 03:20:00,1.75 TB,1.17 TB,2.92 TB
2025-12-27 03:30:00,1.76 TB,1.17 TB,2.93 TB
2025-12-27 03:40:00,1.76 TB,1.18 TB,2.94 TB
2025-12-27 03:50:00,1.77 TB,1.18 TB,2.95 TB
2025-12-27 04:00:00,1.77 TB,1.19 TB,2.96 TB
2025-12-27 04:10:00,1.78 TB,1.19 TB,2.97 TB
2025-12-27 04:20:00,1.78 TB,1.19 TB,2.97 TB
2025-12-27 04:30:00,1.79 TB,1.20 TB,2.98 TB
2025-12-27 04:40:00,1.79 TB,1.20 TB,2.99 TB
2025-12-27 04:50:00,1.79 TB,1.21 TB,3.00 TB
2025-12-27 05:00:00,1.80 TB,1.21 TB,3.01 TB
2025-12-27 05:10:00,1.80 TB,1.22 TB,3.02 TB
2025-12-27 05:20:00,1.81 TB,1.22 TB,3.03 TB
2025-12-27 05:30:00,1.81 TB,1.23 TB,3.04 TB
2025-12-27 05:40:00,1.82 TB,1.23 TB,3.05 TB
2025-12-27 05:50:00,1.82 TB,1.23 TB,3.06 TB
2025-12-27 06:00:00,1.83 TB,1.24 TB,3.07 TB
2025-12-27 06:10:00,1.83 TB,1.24 TB,3.08 TB
2025-12-27 06:20:00,1.84 TB,1.25 TB,3.09 TB
2025-12-27 06:30:00,1.84 TB,1.25 TB,3.09 TB
2025-12-27 06:40:00,1.85 TB,1.26 TB,3.10 TB
2025-12-27 06:50:00,1.85 TB,1.26 TB,3.11 TB
2025-12-27 07:00:00,1.86 TB,1.27 TB,3.12 TB
2025-12-27 07:10:00,1.86 TB,1.27 TB,3.13 TB
2025-12-27 07:20:00,1.86 TB,1.28 TB,3.14 TB
2025-12-27 07:30:00,1.87 TB,1.28 TB,3.15 TB
2025-12-27 07:40:00,1.87 TB,1.29 TB,3.16 TB
2025-12-27 07:50:00,1.88 TB,1.29 TB,3.17 TB
2025-12-27 08:00:00,1.88 TB,1.29 TB,3.18 TB
2025-12-27 08:10:00,1.89 TB,1.30 TB,3.19 TB
2025-12-27 08:20:00,1.89 TB,1.30 TB,3.20 TB
2025-12-27 08:30:00,1.90 TB,1.31 TB,3.21 TB
2025-12-27 08:40:00,1.90 TB,1.31 TB,3.22 TB
2025-12-27 08:50:00,1.91 TB,1.32 TB,3.23 TB
2025-12-27 09:00:00,1.91 TB,1.32 TB,3.23 TB
2025-12-27 09:10:00,1.92 TB,1.33 TB,3.24 TB
2025-12-27 09:20:00,1.92 TB,1.33 TB,3.25 TB
2025-12-27 09:30:00,1.93 TB,1.34 TB,3.26 TB
2025-12-27 09:40:00,1.93 TB,1.34 TB,3.27 TB
2025-12-27 09:50:00,1.94 TB,1.35 TB,3.28 TB
2025-12-27 10:00:00,1.94 TB,1.35 TB,3.29 TB
2025-12-27 10:10:00,1.95 TB,1.35 TB,3.30 TB
2025-12-27 10:20:00,1.95 TB,1.36 TB,3.31 TB
2025-12-27 10:30:00,1.96 TB,1.36 TB,3.32 TB
2025-12-27 10:40:00,1.96 TB,1.37 TB,3.33 TB
2025-12-27 10:50:00,1.96 TB,1.37 TB,3.34 TB
2025-12-27 11:00:00,1.97 TB,1.38 TB,3.35 TB
2025-12-27 11:10:00,1.97 TB,1.38 TB,3.36 TB
2025-12-27 11:20:00,1.98 TB,1.39 TB,3.37 TB
2025-12-27 11:30:00,1.98 TB,1.39 TB,3.38 TB
2025-12-27 11:40:00,1.99 TB,1.40 TB,3.39 TB
2025-12-27 11:50:00,1.99 TB,1.40 TB,3.40 TB
2025-12-27 12:00:00,2.00 TB,1.41 TB,3.40 TB
2025-12-27 12:10:00,2.00 TB,1.41 TB,3.41 TB
2025-12-27 12:20:00,2.01 TB,1.42 TB,3.42 TB
2025-12-27 12:30:00,2.01 TB,1.42 TB,3.43 TB
2025-12-27 12:40:00,2.02 TB,1.43 TB,3.44 TB
2025-12-27 12:50:00,2.02 TB,1.43 TB,3.45 TB
2025-12-27 13:00:00,2.03 TB,1.44 TB,3.46 TB
2025-12-27 13:10:00,2.03 TB,1.44 TB,3.47 TB
2025-12-27 13:20:00,2.04 TB,1.45 TB,3.48 TB
2025-12-27 13:30:00,2.04 TB,1.45 TB,3.49 TB
2025-12-27 13:40:00,2.05 TB,1.45 TB,3.50 TB
2025-12-27 13:50:00,2.05 TB,1.46 TB,3.51 TB
2025-12-27 14:00:00,2.06 TB,1.46 TB,3.52 TB
2025-12-27 14:10:00,2.06 TB,1.47 TB,3.53 TB
2025-12-27 14:20:00,2.07 TB,1.47 TB,3.54 TB
2025-12-27 14:30:00,2.07 TB,1.48 TB,3.55 TB
2025-12-27 14:40:00,2.07 TB,1.48 TB,3.56 TB
2025-12-27 14:50:00,2.08 TB,1.49 TB,3.57 TB
2025-12-27 15:00:00,2.08 TB,1.49 TB,3.58 TB
2025-12-27 15:10:00,2.09 TB,1.50 TB,3.59 TB
2025-12-27 15:20:00,2.09 TB,1.50 TB,3.60 TB
2025-12-27 15:30:00,2.10 TB,1.51 TB,3.61 TB
2025-12-27 15:40:00,2.10 TB,1.51 TB,3.62 TB
2025-12-27 15:50:00,2.11 TB,1.52 TB,3.63 TB
2025-12-27 16:00:00,2.11 TB,1.52 TB,3.64 TB
2025-12-27 16:10:00,2.12 TB,1.53 TB,3.64 TB
2025-12-27 16:20:00,2.12 TB,1.53 TB,3.65 TB
2025-12-27 16:30:00,2.13 TB,1.54 TB,3.66 TB
2025-12-27 16:40:00,2.13 TB,1.54 TB,3.67 TB
2025-12-27 16:50:00,2.14 TB,1.54 TB,3.68 TB
2025-12-27 17:00:00,2.14 TB,1.55 TB,3.69 TB
2025-12-27 17:10:00,2.15 TB,1.55 TB,3.70 TB
2025-12-27 17:20:00,2.15 TB,1.56 TB,3.71 TB
2025-12-27 17:30:00,2.16 TB,1.56 TB,3.72 TB
2025-12-27 17:40:00,2.16 TB,1.57 TB,3.73 TB
2025-12-27 17:50:00,2.17 TB,1.57 TB,3.74 TB
2025-12-27 18:00:00,2.17 TB,1.58 TB,3.75 TB
2025-12-27 18:10:00,2.18 TB,1.58 TB,3.76 TB
2025-12-27 18:20:00,2.18 TB,1.59 TB,3.77 TB
2025-12-27 18:30:00,2.19 TB,1.59 TB,3.78 TB
2025-12-27 18:40:00,2.19 TB,1.60 TB,3.79 TB
2025-12-27 18:50:00,2.19 TB,1.60 TB,3.80 TB
2025-12-27 19:00:00,2.20 TB,1.61 TB,3.81 TB
2025-12-27 19:10:00,2.20 TB,1.61 TB,3.82 TB
2025-12-27 19:20:00,2.21 TB,1.62 TB,3.83 TB
2025-12-27 19:30:00,2.21 TB,1.62 TB,3.84 TB
2025-12-27 19:40:00,2.22 TB,1.63 TB,3.84 TB
2025-12-27 19:50:00,2.22 TB,1.63 TB,3.85 TB
2025-12-27 20:00:00,2.23 TB,1.63 TB,3.86 TB
2025-12-27 20:10:00,2.23 TB,1.64 TB,3.87 TB
2025-12-27 20:20:00,2.24 TB,1.64 TB,3.88 TB
2025-12-27 20:30:00,2.24 TB,1.65 TB,3.89 TB
2025-12-27 20:40:00,2.25 TB,1.65 TB,3.90 TB
2025-12-27 20:50:00,2.25 TB,1.66 TB,3.91 TB
2025-12-27 21:00:00,2.26 TB,1.66 TB,3.92 TB
2025-12-27 21:10:00,2.26 TB,1.67 TB,3.93 TB
2025-12-27 21:20:00,2.26 TB,1.67 TB,3.94 TB
2025-12-27 21:30:00,2.27 TB,1.68 TB,3.94 TB
2025-12-27 21:40:00,2.27 TB,1.68 TB,3.95 TB
2025-12-27 21:50:00,2.28 TB,1.68 TB,3.96 TB
2025-12-27 22:00:00,2.28 TB,1.69 TB,3.97 TB
2025-12-27 22:10:00,2.29 TB,1.69 TB,3.98 TB
2025-12-27 22:20:00,2.29 TB,1.70 TB,3.99 TB
2025-12-27 22:30:00,2.30 TB,1.70 TB,4.00 TB
2025-12-27 22:40:00,2.30 TB,1.71 TB,4.01 TB
2025-12-27 22:50:00,2.31 TB,1.71 TB,4.02 TB
2025-12-27 23:00:00,2.31 TB,1.72 TB,4.03 TB
2025-12-27 23:10:00,2.31 TB,1.72 TB,4.03 TB
