"Time","12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8","12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr"
2025-12-24 00:00:00,9.91,,
2025-12-24 00:10:00,,27.6,10.1
2025-12-24 00:20:00,,13.1,7.87
2025-12-24 00:30:00,,10.6,7.47
2025-12-24 00:40:00,,9.50,7.29
2025-12-24 00:50:00,,8.77,7.16
2025-12-24 01:00:00,,8.37,7.09
2025-12-24 01:10:00,,8.11,7.02
2025-12-24 01:20:00,,7.89,6.96
2025-12-24 01:30:00,,7.76,6.91
2025-12-24 01:40:00,,7.62,6.86
2025-12-24 01:50:00,,7.48,6.82
2025-12-24 02:00:00,,7.39,6.77
2025-12-24 02:10:00,,7.30,6.73
2025-12-24 02:20:00,,7.10,6.62
2025-12-24 02:30:00,,6.99,6.57
2025-12-24 02:40:00,,6.95,6.54
2025-12-24 02:50:00,,6.91,6.51
2025-12-24 03:00:00,,6.85,6.48
2025-12-24 03:10:00,,6.83,6.46
2025-12-24 03:20:00,,6.79,6.44
2025-12-24 03:30:00,,6.76,6.41
2025-12-24 03:40:00,,6.72,6.39
2025-12-24 03:50:00,,6.63,6.32
2025-12-24 04:00:00,,6.54,6.25
2025-12-24 04:10:00,,6.48,6.20
2025-12-24 04:20:00,,6.45,6.18
2025-12-24 04:30:00,,6.43,6.16
2025-12-24 04:40:00,,6.40,6.15
2025-12-24 04:50:00,,6.38,6.13
2025-12-24 05:00:00,,6.34,6.09
2025-12-24 05:10:00,,6.29,6.03
2025-12-24 05:20:00,,6.23,5.98
2025-12-24 05:30:00,,6.20,5.95
2025-12-24 05:40:00,,6.18,5.93
2025-12-24 05:50:00,,6.15,5.92
2025-12-24 06:00:00,,6.10,5.87
2025-12-24 06:10:00,,6.05,5.82
2025-12-24 06:20:00,,6.01,5.78
2025-12-24 06:30:00,,5.99,5.76
2025-12-24 06:40:00,,5.98,5.74
2025-12-24 06:50:00,,5.94,5.71
2025-12-24 07:00:00,,5.90,5.67
2025-12-24 07:10:00,,5.87,5.63
2025-12-24 07:20:00,,5.83,5.59
2025-12-24 07:30:00,,5.82,5.58
2025-12-24 07:40:00,,5.79,5.56
2025-12-24 07:50:00,,5.75,5.52
2025-12-24 08:00:00,,5.72,5.49
2025-12-24 08:10:00,,5.69,5.46
2025-12-24 08:20:00,,5.67,5.44
2025-12-24 08:30:00,,5.63,5.41
2025-12-24 08:40:00,,5.60,5.37
2025-12-24 08:50:00,,5.58,5.35
2025-12-24 09:00:00,,5.55,5.32
2025-12-24 09:10:00,,5.54,5.30
2025-12-24 09:20:00,,5.51,5.28
2025-12-24 09:30:00,,5.49,5.25
2025-12-24 09:40:00,,5.47,5.22
2025-12-24 09:50:00,,5.45,5.20
2025-12-24 10:00:00,,5.43,5.18
2025-12-24 10:10:00,,5.40,5.15
2025-12-24 10:20:00,,5.37,5.12
2025-12-24 10:30:00,,5.35,5.09
2025-12-24 10:40:00,,5.32,5.07
2025-12-24 10:50:00,,5.29,5.04
2025-12-24 11:00:00,,5.27,5.01
2025-12-24 11:10:00,,5.24,4.99
2025-12-24 11:20:00,,5.23,4.98
2025-12-24 11:30:00,,5.23,4.98
2025-12-24 11:40:00,,5.23,4.98
2025-12-24 11:50:00,,5.23,4.98
2025-12-24 12:00:00,,5.23,4.98
2025-12-24 12:10:00,,5.23,4.98
2025-12-24 12:20:00,,5.23,4.98
2025-12-24 12:30:00,,5.23,4.98
2025-12-24 12:40:00,,5.23,4.98
2025-12-24 12:50:00,,5.23,4.98
2025-12-24 13:00:00,,5.23,4.98
2025-12-24 13:10:00,,5.23,4.98
2025-12-24 13:20:00,,5.23,4.98
2025-12-24 13:30:00,,5.23,4.98
2025-12-24 13:40:00,,5.23,4.98
2025-12-24 13:50:00,,5.23,4.98
2025-12-24 14:00:00,,5.23,4.98
2025-12-24 14:10:00,,5.23,4.98
2025-12-24 14:20:00,,5.23,4.98
2025-12-24 14:30:00,,5.23,4.98
2025-12-24 14:40:00,,5.23,4.98
2025-12-24 14:50:00,,5.23,4.98
2025-12-24 15:00:00,,5.23,4.98
2025-12-24 15:10:00,,5.23,4.98
2025-12-24 15:20:00,,5.23,4.98
2025-12-24 15:30:00,,5.23,4.98
2025-12-24 15:40:00,,5.23,4.98
2025-12-24 15:50:00,,5.23,4.98
2025-12-24 16:00:00,,5.23,4.98
2025-12-24 16:10:00,,5.23,4.98
2025-12-24 16:20:00,,5.23,4.98
2025-12-24 16:30:00,,5.23,4.98
2025-12-24 16:40:00,,5.23,4.98
2025-12-24 16:50:00,,5.23,4.98
2025-12-24 17:00:00,,5.23,4.98
2025-12-24 17:10:00,,5.23,4.98
2025-12-24 17:20:00,,5.23,4.98
2025-12-24 17:30:00,,5.23,4.98
2025-12-24 17:40:00,,5.23,4.98
2025-12-24 17:50:00,,5.23,4.98
2025-12-24 18:00:00,,5.23,4.98
2025-12-24 18:10:00,,5.23,4.98
2025-12-24 18:20:00,,5.23,4.98
2025-12-24 18:30:00,,5.23,4.98
2025-12-24 18:40:00,,5.23,4.98
2025-12-24 18:50:00,,5.23,4.98
2025-12-24 19:00:00,,5.23,4.98
2025-12-24 19:10:00,,5.23,4.98
2025-12-24 19:20:00,,5.23,4.98
2025-12-24 19:30:00,,5.23,4.98
2025-12-24 19:40:00,,5.23,4.98
2025-12-24 19:50:00,,5.23,4.98
2025-12-24 20:00:00,,5.23,4.98
2025-12-24 20:10:00,,5.23,4.98
2025-12-24 20:20:00,,5.23,4.98
2025-12-24 20:30:00,,5.23,4.98
2025-12-24 20:40:00,,5.23,4.98
2025-12-24 20:50:00,,5.23,4.98
2025-12-24 21:00:00,,5.23,4.98
2025-12-24 21:10:00,,5.23,4.98
2025-12-24 21:20:00,,5.23,4.98
2025-12-24 21:30:00,,5.23,4.98
2025-12-24 21:40:00,,5.23,4.98
2025-12-24 21:50:00,,5.23,4.98
2025-12-24 22:00:00,,5.23,4.98
2025-12-24 22:10:00,,5.23,4.98
2025-12-24 22:20:00,,5.23,4.98
2025-12-24 22:30:00,,5.23,4.98
2025-12-24 22:40:00,,5.23,4.98
2025-12-24 22:50:00,,5.23,4.98
2025-12-24 23:00:00,,5.23,4.98
2025-12-24 23:10:00,,5.23,4.98
2025-12-24 23:20:00,,5.23,4.98
2025-12-24 23:30:00,,5.23,4.98
2025-12-24 23:40:00,,5.23,4.98
2025-12-24 23:50:00,,5.23,4.98
2025-12-25 00:00:00,,5.23,4.98
2025-12-25 00:10:00,,5.23,4.98
2025-12-25 00:20:00,,5.23,4.98
2025-12-25 00:30:00,,5.23,4.98
2025-12-25 00:40:00,,5.23,4.98
2025-12-25 00:50:00,,5.23,4.98
2025-12-25 01:00:00,,5.23,4.98
2025-12-25 01:10:00,,5.23,4.98
2025-12-25 01:20:00,,5.23,4.98
2025-12-25 01:30:00,,5.23,4.98
2025-12-25 01:40:00,,5.23,4.98
2025-12-25 01:50:00,,5.23,4.98
2025-12-25 02:00:00,,5.23,4.98
2025-12-25 02:10:00,,5.23,4.98
2025-12-25 02:20:00,,5.23,4.98
2025-12-25 02:30:00,,5.23,4.98
2025-12-25 02:40:00,,5.23,4.98
2025-12-25 02:50:00,,5.23,4.98
