"Time","avg"
2025-12-24 00:00:00,36.5 ms
2025-12-24 00:10:00,25.4 ms
2025-12-24 00:20:00,25.3 ms
2025-12-24 00:30:00,25.3 ms
2025-12-24 00:40:00,26.8 ms
2025-12-24 00:50:00,67.8 ms
2025-12-24 01:00:00,25.4 ms
2025-12-24 01:10:00,25.7 ms
2025-12-24 01:20:00,25.4 ms
2025-12-24 01:30:00,25.2 ms
2025-12-24 01:40:00,25.4 ms
2025-12-24 01:50:00,25.8 ms
2025-12-24 02:00:00,25.3 ms
2025-12-24 02:10:00,49.4 ms
2025-12-24 02:20:00,25.3 ms
2025-12-24 02:30:00,25.2 ms
2025-12-24 02:40:00,27.8 ms
2025-12-24 02:50:00,25.3 ms
2025-12-24 03:00:00,47.8 ms
2025-12-24 03:10:00,168 ms
2025-12-24 03:20:00,25.3 ms
2025-12-24 03:30:00,99.2 ms
2025-12-24 03:40:00,47.8 ms
2025-12-24 03:50:00,25.3 ms
2025-12-24 04:00:00,25.3 ms
2025-12-24 04:10:00,38.1 ms
2025-12-24 04:20:00,25.2 ms
2025-12-24 04:30:00,25.2 ms
2025-12-24 04:40:00,25.1 ms
2025-12-24 04:50:00,26.0 ms
2025-12-24 05:00:00,25.2 ms
2025-12-24 05:10:00,25.7 ms
2025-12-24 05:20:00,25.6 ms
2025-12-24 05:30:00,25.2 ms
2025-12-24 05:40:00,25.6 ms
2025-12-24 05:50:00,25.1 ms
2025-12-24 06:00:00,25.7 ms
2025-12-24 06:10:00,25.1 ms
2025-12-24 06:20:00,25.2 ms
2025-12-24 06:30:00,51.6 ms
2025-12-24 06:40:00,25.1 ms
2025-12-24 06:50:00,25.3 ms
2025-12-24 07:00:00,25.7 ms
2025-12-24 07:10:00,25.3 ms
2025-12-24 07:20:00,25.3 ms
2025-12-24 07:30:00,25.1 ms
2025-12-24 07:40:00,25.2 ms
2025-12-24 07:50:00,27.0 ms
2025-12-24 08:00:00,26.2 ms
2025-12-24 08:10:00,25.2 ms
2025-12-24 08:20:00,25.2 ms
2025-12-24 08:30:00,25.7 ms
2025-12-24 08:40:00,25.2 ms
2025-12-24 08:50:00,26.3 ms
2025-12-24 09:00:00,25.1 ms
2025-12-24 09:10:00,25.2 ms
2025-12-24 09:20:00,25.5 ms
2025-12-24 09:30:00,25.5 ms
2025-12-24 09:40:00,28.5 ms
2025-12-24 09:50:00,25.3 ms
2025-12-24 10:00:00,25.3 ms
2025-12-24 10:10:00,25.7 ms
2025-12-24 10:20:00,25.2 ms
2025-12-24 10:30:00,26.4 ms
2025-12-24 10:40:00,30.6 ms
2025-12-24 10:50:00,25.3 ms
2025-12-24 11:00:00,25.3 ms
2025-12-24 11:10:00,25.3 ms
2025-12-24 11:20:00,25.2 ms
2025-12-24 11:30:00,24.7 ms
2025-12-24 11:40:00,24.7 ms
2025-12-24 11:50:00,24.6 ms
2025-12-24 12:00:00,24.7 ms
2025-12-24 12:10:00,24.7 ms
2025-12-24 12:20:00,24.7 ms
2025-12-24 12:30:00,24.7 ms
2025-12-24 12:40:00,24.7 ms
2025-12-24 12:50:00,24.6 ms
2025-12-24 13:00:00,24.7 ms
2025-12-24 13:10:00,24.7 ms
2025-12-24 13:20:00,25.3 ms
2025-12-24 13:30:00,24.6 ms
2025-12-24 13:40:00,24.7 ms
2025-12-24 13:50:00,24.7 ms
2025-12-24 14:00:00,24.7 ms
2025-12-24 14:10:00,24.6 ms
2025-12-24 14:20:00,24.7 ms
2025-12-24 14:30:00,24.8 ms
2025-12-24 14:40:00,24.7 ms
2025-12-24 14:50:00,24.7 ms
2025-12-24 15:00:00,24.6 ms
2025-12-24 15:10:00,24.6 ms
2025-12-24 15:20:00,24.6 ms
2025-12-24 15:30:00,24.8 ms
2025-12-24 15:40:00,24.6 ms
2025-12-24 15:50:00,24.7 ms
2025-12-24 16:00:00,25.0 ms
2025-12-24 16:10:00,24.7 ms
2025-12-24 16:20:00,24.7 ms
2025-12-24 16:30:00,24.6 ms
2025-12-24 16:40:00,24.6 ms
2025-12-24 16:50:00,24.6 ms
2025-12-24 17:00:00,24.7 ms
2025-12-24 17:10:00,24.6 ms
2025-12-24 17:20:00,24.6 ms
2025-12-24 17:30:00,24.6 ms
2025-12-24 17:40:00,24.7 ms
2025-12-24 17:50:00,24.7 ms
2025-12-24 18:00:00,24.6 ms
2025-12-24 18:10:00,24.7 ms
2025-12-24 18:20:00,24.8 ms
2025-12-24 18:30:00,24.6 ms
2025-12-24 18:40:00,24.7 ms
2025-12-24 18:50:00,24.6 ms
2025-12-24 19:00:00,24.6 ms
2025-12-24 19:10:00,24.6 ms
2025-12-24 19:20:00,24.7 ms
2025-12-24 19:30:00,24.7 ms
2025-12-24 19:40:00,24.6 ms
2025-12-24 19:50:00,24.6 ms
2025-12-24 20:00:00,24.6 ms
2025-12-24 20:10:00,24.6 ms
2025-12-24 20:20:00,24.8 ms
2025-12-24 20:30:00,24.7 ms
2025-12-24 20:40:00,24.6 ms
2025-12-24 20:50:00,24.6 ms
2025-12-24 21:00:00,24.8 ms
2025-12-24 21:10:00,24.7 ms
2025-12-24 21:20:00,24.7 ms
2025-12-24 21:30:00,24.7 ms
2025-12-24 21:40:00,24.7 ms
2025-12-24 21:50:00,24.7 ms
2025-12-24 22:00:00,24.6 ms
2025-12-24 22:10:00,24.7 ms
2025-12-24 22:20:00,24.7 ms
2025-12-24 22:30:00,24.6 ms
2025-12-24 22:40:00,24.7 ms
2025-12-24 22:50:00,24.7 ms
2025-12-24 23:00:00,24.7 ms
2025-12-24 23:10:00,24.6 ms
2025-12-24 23:20:00,24.7 ms
2025-12-24 23:30:00,24.6 ms
2025-12-24 23:40:00,24.6 ms
2025-12-24 23:50:00,24.6 ms
2025-12-25 00:00:00,24.6 ms
2025-12-25 00:10:00,24.6 ms
2025-12-25 00:20:00,24.6 ms
2025-12-25 00:30:00,24.6 ms
