"Time","in:gcn_891461c3","out:gcn_891461c3","sum:gcn_891461c3"
2026-01-16 12:05:00,66.9 MB,66.5 MB,133 MB
2026-01-16 12:06:00,86.0 MB,86.3 MB,172 MB
2026-01-16 12:07:00,86.5 MB,86.5 MB,173 MB
2026-01-16 12:08:00,86.5 MB,86.5 MB,173 MB
2026-01-16 12:09:00,86.5 MB,86.5 MB,173 MB
2026-01-16 12:10:00,87.7 MB,87.7 MB,175 MB
