"Time","gateway1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","gateway1 (aws) -> 12D3KooWHW7wgTu87J3MA6ntu6h5rSgUDsa35Jmo12DTXpwQ6Ric","gateway1 (aws) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","gateway1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker1 (aws) -> 12D3KooWHW7wgTu87J3MA6ntu6h5rSgUDsa35Jmo12DTXpwQ6Ric","worker1 (aws) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker1 (aws) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","worker1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker1 (aws) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","worker1 (aws) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker3 (hetzner) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker3 (hetzner) -> 12D3KooWHW7wgTu87J3MA6ntu6h5rSgUDsa35Jmo12DTXpwQ6Ric","worker3 (hetzner) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker3 (hetzner) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","scheduler (yorizon) -> 12D3KooWHW7wgTu87J3MA6ntu6h5rSgUDsa35Jmo12DTXpwQ6Ric","scheduler (yorizon) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","scheduler (yorizon) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","scheduler (yorizon) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z"
2026-01-16 12:05:00,11.8 ms,41.5 ms,0.581 ms,6.04 ms,12.5 ms,41.5 ms,41.4 ms,12.0 ms,6.34 ms,12.3 ms,0.861 ms,11.8 ms,46.2 ms,5.71 ms,5.85 ms,52.3 ms,12.6 ms,11.6 ms,12.0 ms
2026-01-16 12:06:00,11.8 ms,41.6 ms,0.456 ms,6.36 ms,11.7 ms,393 ms,41.5 ms,12.1 ms,6.29 ms,12.3 ms,0.525 ms,11.7 ms,46.5 ms,6.07 ms,5.92 ms,52.3 ms,11.7 ms,11.7 ms,11.8 ms
2026-01-16 12:07:00,11.8 ms,42.0 ms,0.523 ms,6.19 ms,11.7 ms,41.4 ms,41.4 ms,12.1 ms,5.98 ms,12.4 ms,0.493 ms,11.8 ms,46.1 ms,5.92 ms,6.27 ms,52.3 ms,11.7 ms,11.7 ms,11.8 ms
2026-01-16 12:08:00,11.8 ms,41.5 ms,0.558 ms,6.17 ms,11.7 ms,41.6 ms,41.7 ms,12.1 ms,5.96 ms,12.3 ms,0.643 ms,11.8 ms,46.1 ms,6.01 ms,6.01 ms,52.3 ms,11.7 ms,11.7 ms,11.8 ms
2026-01-16 12:09:00,11.8 ms,41.7 ms,0.410 ms,6.27 ms,11.7 ms,41.5 ms,41.4 ms,12.1 ms,5.93 ms,12.2 ms,0.592 ms,11.8 ms,46.1 ms,5.96 ms,6.01 ms,52.3 ms,11.7 ms,11.7 ms,11.8 ms
2026-01-16 12:10:00,11.6 ms,41.6 ms,0.507 ms,6.06 ms,12.4 ms,41.4 ms,41.3 ms,12.1 ms,6.24 ms,12.3 ms,0.713 ms,11.7 ms,46.1 ms,5.92 ms,6.21 ms,52.3 ms,11.7 ms,11.7 ms,11.8 ms
