"Time","in:gcn_891461c3/gateway1","in:gcn_891461c3/scheduler","in:gcn_891461c3/worker1","in:gcn_891461c3/worker3","out:gcn_891461c3/gateway1","out:gcn_891461c3/scheduler","out:gcn_891461c3/worker1","out:gcn_891461c3/worker3","sum:gcn_891461c3/gateway1","sum:gcn_891461c3/scheduler","sum:gcn_891461c3/worker1","sum:gcn_891461c3/worker3"
2026-01-16 12:05:00,1.55 MB,144 kB,32.6 MB,32.6 MB,1.64 MB,161 kB,32.7 MB,32.0 MB,3.18 MB,305 kB,65.4 MB,64.6 MB
2026-01-16 12:06:00,1.62 MB,203 kB,42.1 MB,42.1 MB,1.71 MB,237 kB,42.5 MB,41.8 MB,3.33 MB,440 kB,84.6 MB,83.9 MB
2026-01-16 12:07:00,1.63 MB,203 kB,42.6 MB,42.1 MB,1.71 MB,237 kB,42.7 MB,41.9 MB,3.34 MB,440 kB,85.3 MB,83.9 MB
2026-01-16 12:08:00,1.63 MB,203 kB,42.6 MB,42.1 MB,1.71 MB,237 kB,42.7 MB,41.9 MB,3.34 MB,440 kB,85.3 MB,83.9 MB
2026-01-16 12:09:00,1.63 MB,203 kB,42.6 MB,42.1 MB,1.72 MB,237 kB,42.7 MB,41.9 MB,3.35 MB,440 kB,85.3 MB,83.9 MB
2026-01-16 12:10:00,1.65 MB,203 kB,43.3 MB,42.5 MB,1.74 MB,237 kB,43.6 MB,42.1 MB,3.39 MB,440 kB,86.9 MB,84.6 MB
