"Time","4bb96183-aebf-42c3-a721-e0c7964a83ff","823d26f5-c16e-4a4d-8486-d04bbb92693f"
2026-01-16 12:05:00,5.83 s,1.47 s
2026-01-16 12:06:00,,1.58 s
2026-01-16 12:07:00,,1.58 s
2026-01-16 12:08:00,,1.58 s
2026-01-16 12:09:00,,1.58 s
2026-01-16 12:10:00,,1.58 s
