"Time","Weighted Average (4bb96183-aebf-42c3-a721-e0c7964a83ff)","Weighted Average (823d26f5-c16e-4a4d-8486-d04bbb92693f)","Average  (4bb96183-aebf-42c3-a721-e0c7964a83ff)","Average  (823d26f5-c16e-4a4d-8486-d04bbb92693f)"
2026-01-16 12:05:00,0.860,0.936,0.860,0.963
2026-01-16 12:06:00,,0.879,,0.879
2026-01-16 12:07:00,,0.879,,0.879
2026-01-16 12:08:00,,0.879,,0.879
2026-01-16 12:09:00,,0.879,,0.879
2026-01-16 12:10:00,,0.879,,0.879
