"Time","data_points (4bb96183-aebf-42c3-a721-e0c7964a83ff)","data_points (823d26f5-c16e-4a4d-8486-d04bbb92693f)"
2026-01-16 12:05:00,17,17.5
2026-01-16 12:06:00,,17
2026-01-16 12:07:00,,17
2026-01-16 12:08:00,,17
2026-01-16 12:09:00,,17
2026-01-16 12:10:00,,17
