"Time","gateway1","scheduler","worker1","worker3"
2026-01-16 12:05:00,7.25 kb/s,10.4 kb/s,4.96 Mb/s,381 kb/s
2026-01-16 12:06:00,12.8 kb/s,7.31 kb/s,5.96 Mb/s,1.24 Mb/s
2026-01-16 12:07:00,12.3 kb/s,9.03 kb/s,6.51 Mb/s,1.24 Mb/s
2026-01-16 12:08:00,6.98 kb/s,10.8 kb/s,6.91 Mb/s,861 kb/s
2026-01-16 12:09:00,830 b/s,,6.72 Mb/s,1.56 kb/s
2026-01-16 12:10:00,2.16 kb/s,,6.75 Mb/s,31.6 kb/s
