"Time","12D3KooWHW7wgTu87J3MA6ntu6h5rSgUDsa35Jmo12DTXpwQ6Ric","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","12D3KooWHW7wgTu87J3MA6ntu6h5rSgUDsa35Jmo12DTXpwQ6Ric","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G"
2026-01-16 12:05:00,0.861,0.859,0.961,0.965
2026-01-16 12:06:00,,,0.885,0.872
2026-01-16 12:07:00,,,0.885,0.872
2026-01-16 12:08:00,,,0.885,0.872
2026-01-16 12:09:00,,,0.885,0.872
2026-01-16 12:10:00,,,0.885,0.872
