"Time","sum (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""ppo_d964df25_mac""}[4m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""ppo_d964df25_mac""}[4m0s])
)  * 8 "
2026-01-08 16:54:00,268 kb/s
2026-01-08 16:55:00,578 kb/s
2026-01-08 16:56:00,840 kb/s
2026-01-08 16:57:00,881 kb/s
2026-01-08 16:58:00,862 kb/s
2026-01-08 16:59:00,872 kb/s
2026-01-08 17:00:00,878 kb/s
2026-01-08 17:01:00,876 kb/s
2026-01-08 17:02:00,868 kb/s
2026-01-08 17:03:00,857 kb/s
2026-01-08 17:04:00,858 kb/s
2026-01-08 17:05:00,859 kb/s
2026-01-08 17:06:00,857 kb/s
2026-01-08 17:07:00,861 kb/s
2026-01-08 17:08:00,860 kb/s
2026-01-08 17:09:00,864 kb/s
2026-01-08 17:10:00,864 kb/s
2026-01-08 17:11:00,858 kb/s
2026-01-08 17:12:00,838 kb/s
2026-01-08 17:13:00,575 kb/s
2026-01-08 17:14:00,297 kb/s
2026-01-08 17:15:00,26.9 kb/s
2026-01-08 17:16:00,5.52 kb/s
