"Time","sum:ppo_d964df25_mac/scheduler","sum:ppo_d964df25_mac/worker2","sum:ppo_d964df25_mac/worker4","sum:ppo_d964df25_mac/worker5","sum:ppo_d964df25_mac/worker6"
2026-01-08 16:54:00,431 kB,61.8 MB,22.4 MB,21.5 MB,11.0 MB
2026-01-08 16:55:00,760 kB,64.9 MB,23.4 MB,22.6 MB,12.2 MB
2026-01-08 16:56:00,929 kB,68.0 MB,24.5 MB,23.7 MB,13.2 MB
2026-01-08 16:57:00,1.11 MB,71.2 MB,25.6 MB,24.7 MB,14.3 MB
2026-01-08 16:58:00,1.28 MB,74.2 MB,26.6 MB,25.8 MB,15.4 MB
2026-01-08 16:59:00,1.47 MB,77.4 MB,27.7 MB,26.9 MB,16.4 MB
2026-01-08 17:00:00,1.65 MB,80.6 MB,28.8 MB,28.0 MB,17.6 MB
2026-01-08 17:01:00,1.83 MB,83.7 MB,29.9 MB,29.0 MB,18.6 MB
2026-01-08 17:02:00,2.00 MB,86.8 MB,30.9 MB,30.1 MB,19.7 MB
2026-01-08 17:03:00,2.18 MB,89.9 MB,32.0 MB,31.1 MB,20.7 MB
2026-01-08 17:04:00,2.36 MB,92.9 MB,33.1 MB,32.2 MB,21.8 MB
2026-01-08 17:05:00,2.54 MB,96.0 MB,34.1 MB,33.3 MB,22.8 MB
2026-01-08 17:06:00,2.71 MB,99.1 MB,35.2 MB,34.3 MB,23.9 MB
2026-01-08 17:07:00,2.89 MB,102 MB,36.2 MB,35.4 MB,24.9 MB
2026-01-08 17:08:00,3.06 MB,105 MB,37.3 MB,36.5 MB,26.0 MB
2026-01-08 17:09:00,3.25 MB,108 MB,38.4 MB,37.5 MB,27.1 MB
2026-01-08 17:10:00,3.43 MB,111 MB,39.4 MB,38.6 MB,28.2 MB
2026-01-08 17:11:00,3.60 MB,115 MB,40.5 MB,39.6 MB,29.2 MB
2026-01-08 17:12:00,3.77 MB,118 MB,41.1 MB,40.7 MB,30.3 MB
2026-01-08 17:13:00,3.77 MB,118 MB,41.2 MB,40.8 MB,30.5 MB
2026-01-08 17:14:00,3.77 MB,118 MB,41.2 MB,40.8 MB,30.5 MB
2026-01-08 17:15:00,3.77 MB,118 MB,41.2 MB,40.9 MB,30.6 MB
2026-01-08 17:16:00,3.77 MB,118 MB,41.2 MB,40.9 MB,30.6 MB
