"Time","debug","error","info","warn"
2026-01-08 16:54:00,5.32 K,,568,
2026-01-08 16:54:30,4.65 K,3,550,1
2026-01-08 16:55:00,4.29 K,,538,
2026-01-08 16:55:30,4.48 K,,544,
2026-01-08 16:56:00,4.46 K,,543,
2026-01-08 16:56:30,4.51 K,,551,
2026-01-08 16:57:00,4.43 K,,545,
2026-01-08 16:57:30,4.35 K,,544,
2026-01-08 16:58:00,4.48 K,,564,
2026-01-08 16:58:30,4.55 K,,547,
2026-01-08 16:59:00,4.58 K,,576,
2026-01-08 16:59:30,4.23 K,,541,
2026-01-08 17:00:00,4.24 K,,554,
2026-01-08 17:00:30,4.33 K,,531,
2026-01-08 17:01:00,4.44 K,,553,
2026-01-08 17:01:30,4.50 K,,543,
2026-01-08 17:02:00,4.34 K,,550,
2026-01-08 17:02:30,4.52 K,,545,
2026-01-08 17:03:00,4.32 K,,532,
2026-01-08 17:03:30,4.48 K,,547,
2026-01-08 17:04:00,4.46 K,,552,
2026-01-08 17:04:30,4.43 K,,545,
2026-01-08 17:05:00,4.34 K,,543,
2026-01-08 17:05:30,4.49 K,,542,
2026-01-08 17:06:00,4.38 K,,538,
2026-01-08 17:06:30,4.46 K,,552,
2026-01-08 17:07:00,4.55 K,,536,
2026-01-08 17:07:30,4.59 K,,545,
2026-01-08 17:08:00,4.42 K,,553,
2026-01-08 17:08:30,4.47 K,,537,
2026-01-08 17:09:00,4.66 K,,556,
2026-01-08 17:09:30,4.30 K,,541,
2026-01-08 17:10:00,4.22 K,,526,
2026-01-08 17:10:30,4.39 K,,547,1
2026-01-08 17:11:00,4.47 K,,537,
2026-01-08 17:11:30,4.44 K,,549,
2026-01-08 17:12:00,1.56 K,4,287,
2026-01-08 17:12:30,745,6,240,
2026-01-08 17:13:00,625,7,240,1
2026-01-08 17:13:30,759,3,240,1
2026-01-08 17:14:00,873,2,92,1
2026-01-08 17:14:30,582,,,
2026-01-08 17:15:00,518,,,
2026-01-08 17:15:30,1.26 K,,9,
2026-01-08 17:16:00,987,,1,
