"Time","data_points","data_points"
2026-01-08 16:54:00,6,8
2026-01-08 16:55:00,6,
2026-01-08 16:56:00,6,
2026-01-08 16:57:00,6,
2026-01-08 16:58:00,6,
2026-01-08 16:59:00,6,
2026-01-08 17:00:00,6,
2026-01-08 17:01:00,6,
2026-01-08 17:02:00,6,
2026-01-08 17:03:00,6,
2026-01-08 17:04:00,6,
2026-01-08 17:05:00,6,
2026-01-08 17:06:00,6,
2026-01-08 17:07:00,6,
2026-01-08 17:08:00,6,
2026-01-08 17:09:00,6,
2026-01-08 17:10:00,6,
2026-01-08 17:11:00,6,
2026-01-08 17:12:00,6,
2026-01-08 17:13:00,6,
2026-01-08 17:14:00,6,
2026-01-08 17:15:00,6,
2026-01-08 17:16:00,6,
