run,t_hours,redirects
resnet_50_145ac6a_report,0.0,16.0
resnet_50_145ac6a_report,0.16666666666666666,41.0
resnet_50_145ac6a_report,0.3333333333333333,59.0
resnet_50_145ac6a_report,0.5,87.0
resnet_50_145ac6a_report,0.6666666666666666,106.0
resnet_50_145ac6a_report,0.8333333333333334,121.0
resnet_50_145ac6a_report,1.0,131.0
resnet_50_145ac6a_report,1.1666666666666667,123.0
resnet_50_145ac6a_report,1.3333333333333333,106.0
resnet_50_145ac6a_report,1.5,78.0
resnet_50_145ac6a_report,1.6666666666666667,79.0
resnet_50_145ac6a_report,1.8333333333333333,88.0
resnet_50_145ac6a_report,2.0,86.0
resnet_50_145ac6a_report,2.1666666666666665,82.0
resnet_50_145ac6a_report,2.3333333333333335,101.0
resnet_50_145ac6a_report,2.5,101.0
resnet_50_145ac6a_report,2.6666666666666665,81.0
resnet_50_145ac6a_report,2.8333333333333335,57.0
resnet_50_145ac6a_report,3.0,42.0
resnet_50_145ac6a_report,3.1666666666666665,60.0
resnet_50_145ac6a_report,3.3333333333333335,58.0
resnet_50_145ac6a_report,3.5,58.0
resnet_50_145ac6a_report,3.6666666666666665,58.0
resnet_50_145ac6a_report,3.8333333333333335,58.0
resnet_50_145ac6a_report,4.0,68.0
resnet_50_145ac6a_report,4.166666666666667,60.0
resnet_50_145ac6a_report,4.333333333333333,47.0
resnet_50_145ac6a_report,4.5,47.0
resnet_50_145ac6a_report,4.666666666666667,47.0
resnet_50_145ac6a_report,4.833333333333333,51.0
resnet_50_145ac6a_report,5.0,55.0
resnet_50_145ac6a_report,5.166666666666667,33.0
resnet_50_145ac6a_report,5.333333333333333,28.0
resnet_50_145ac6a_report,5.5,28.0
resnet_50_145ac6a_report,5.666666666666667,28.0
resnet_50_145ac6a_report,5.833333333333333,36.0
resnet_50_145ac6a_report,6.0,13.0
resnet_50_145ac6a_report,6.166666666666667,12.0
resnet_50_145ac6a_report,6.333333333333333,12.0
resnet_50_145ac6a_report,6.5,16.0
resnet_50_145ac6a_report,6.666666666666667,31.0
resnet_50_145ac6a_report,6.833333333333333,19.0
resnet_50_145ac6a_report,7.0,19.0
resnet_50_145ac6a_report,7.166666666666667,19.0
resnet_50_145ac6a_report,7.333333333333333,19.0
resnet_50_145ac6a_report,7.5,29.0
resnet_50_145ac6a_report,7.666666666666667,14.0
resnet_50_145ac6a_report,7.833333333333333,14.0
resnet_50_145ac6a_report,8.0,14.0
resnet_50_145ac6a_report,8.166666666666666,15.0
resnet_50_145ac6a_report,8.333333333333334,15.0
resnet_50_145ac6a_report,8.5,1.0
resnet_50_145ac6a_report,8.666666666666666,1.0
resnet_50_145ac6a_report,8.833333333333334,1.0
resnet_50_145ac6a_report,9.0,34.0
resnet_50_145ac6a_report,9.166666666666666,33.0
resnet_50_145ac6a_report,9.333333333333334,33.0
resnet_50_145ac6a_report,9.5,118.0
resnet_50_145ac6a_report,9.666666666666666,734.0
resnet_50_145ac6a_report,9.833333333333334,734.0
resnet_50_145ac6a_report,10.0,701.0
resnet_50_145ac6a_report,10.166666666666666,701.0
resnet_50_145ac6a_report,10.333333333333334,701.0
resnet_50_145ac6a_report,10.5,616.0
resnet_50_145ac6a_report,60.5,23.0
resnet_50_145ac6a_report,60.666666666666664,72.0
resnet_50_145ac6a_report,60.833333333333336,157.0
resnet_50_145ac6a_report,61.0,212.0
resnet_50_145ac6a_report,61.166666666666664,258.0
resnet_50_145ac6a_report,61.333333333333336,326.0
resnet_50_145ac6a_report,61.5,361.0
resnet_50_145ac6a_report,61.666666666666664,312.0
resnet_50_145ac6a_report,61.833333333333336,258.0
resnet_50_145ac6a_report,62.0,273.0
resnet_50_145ac6a_report,62.166666666666664,295.0
resnet_50_145ac6a_report,62.333333333333336,269.0
resnet_50_145ac6a_report,62.5,211.0
resnet_50_145ac6a_report,62.666666666666664,211.0
resnet_50_145ac6a_report,62.833333333333336,222.0
resnet_50_145ac6a_report,63.0,207.0
resnet_50_145ac6a_report,63.166666666666664,169.0
resnet_50_145ac6a_report,63.333333333333336,127.0
resnet_50_145ac6a_report,63.5,127.0
resnet_50_145ac6a_report,63.666666666666664,134.0
resnet_50_145ac6a_report,63.833333333333336,146.0
resnet_50_145ac6a_report,64.0,102.0
resnet_50_145ac6a_report,64.16666666666667,72.0
resnet_50_145ac6a_report,64.33333333333333,72.0
resnet_50_145ac6a_report,64.5,89.0
resnet_50_145ac6a_report,64.66666666666667,137.0
resnet_50_145ac6a_report,64.83333333333333,83.0
resnet_50_145ac6a_report,65.0,72.0
