run,t_hours,round_s
resnet-101_result_report,12.666666666666666,7.16
resnet-101_result_report,12.75,9.25
resnet-101_result_report,12.833333333333334,10.9
resnet-101_result_report,12.916666666666666,12.4
resnet-101_result_report,13.0,9.39
resnet-101_result_report,13.083333333333334,7.64
resnet-101_result_report,13.166666666666666,11.3
resnet-101_result_report,13.25,9.42
resnet-101_result_report,13.333333333333334,8.05
resnet-101_result_report,13.416666666666666,9.16
resnet-101_result_report,13.5,9.44
resnet-101_result_report,13.583333333333334,9.16
resnet-101_result_report,13.666666666666666,11.1
resnet-101_result_report,13.75,9.09
resnet-101_result_report,13.833333333333334,9.02
resnet-101_result_report,13.916666666666666,10.3
resnet-101_result_report,14.0,10.2
resnet-101_result_report,14.083333333333334,10.4
resnet-101_result_report,14.166666666666666,10.7
resnet-101_result_report,14.25,8.99
resnet-101_result_report,14.333333333333334,10.4
resnet-101_result_report,14.416666666666666,8.45
resnet-101_result_report,14.5,8.86
resnet-101_result_report,14.583333333333334,9.36
resnet-101_result_report,14.666666666666666,10.7
resnet-101_result_report,14.75,7.94
resnet-101_result_report,14.833333333333334,8.67
resnet-101_result_report,14.916666666666666,10.2
resnet-101_result_report,15.0,9.85
resnet-101_result_report,15.083333333333334,10.1
resnet-101_result_report,15.166666666666666,8.03
resnet-101_result_report,15.25,9.94
resnet-101_result_report,15.333333333333334,13.6
resnet-101_result_report,15.416666666666666,7.38
resnet-101_result_report,15.5,9.41
resnet-101_result_report,15.583333333333334,8.36
resnet-101_result_report,15.666666666666666,9.09
resnet-101_result_report,15.75,7.62
resnet-101_result_report,15.833333333333334,10.4
resnet-101_result_report,15.916666666666666,8.43
resnet-101_result_report,16.0,8.52
resnet-101_result_report,16.083333333333332,9.49
resnet-101_result_report,16.166666666666668,11.2
resnet-101_result_report,16.25,8.54
resnet-101_result_report,16.333333333333332,9.23
resnet-101_result_report,16.416666666666668,11.1
resnet-101_result_report,16.5,9.08
resnet-101_result_report,16.583333333333332,9.82
resnet-101_result_report,16.666666666666668,8.63
resnet-101_result_report,16.75,8.87
resnet-101_result_report,16.833333333333332,7.42
resnet-101_result_report,16.916666666666668,10.7
resnet-101_result_report,17.0,9.86
resnet-101_result_report,17.083333333333332,8.43
resnet-101_result_report,17.166666666666668,10.5
resnet-101_result_report,17.25,8.39
resnet-101_result_report,17.333333333333332,8.71
resnet-101_result_report,17.416666666666668,7.46
resnet-101_result_report,17.5,8.42
resnet-101_result_report,17.583333333333332,10.1
resnet-101_result_report,17.666666666666668,8.78
resnet-101_result_report,17.75,22.4
resnet-101_result_report,17.833333333333332,8.66
resnet-101_result_report,17.916666666666668,8.59
resnet-101_result_report,18.0,9.57
resnet-101_result_report,18.083333333333332,7.92
resnet-101_result_report,18.166666666666668,9.25
resnet-101_result_report,18.25,10.5
resnet-101_result_report,18.333333333333332,7.57
resnet-101_result_report,18.416666666666668,10.2
resnet-101_result_report,18.5,8.74
resnet-101_result_report,18.583333333333332,9.48
resnet-101_result_report,18.666666666666668,9.03
resnet-101_result_report,18.75,10.7
resnet-101_result_report,18.833333333333332,9.23
resnet-101_result_report,18.916666666666668,10.4
resnet-101_result_report,19.0,10.5
resnet-101_result_report,19.083333333333332,9.55
resnet-101_result_report,19.166666666666668,9.16
resnet-101_result_report,19.25,9.1
