run,t_hours,speed_mbps
resnet_50_145ac6a_report,0.0,217.51000000000002
resnet_50_145ac6a_report,0.16666666666666666,407.2
resnet_50_145ac6a_report,0.3333333333333333,382.6
resnet_50_145ac6a_report,0.5,378.6
resnet_50_145ac6a_report,0.6666666666666666,403.09999999999997
resnet_50_145ac6a_report,0.8333333333333334,460.70000000000005
resnet_50_145ac6a_report,1.0,373.9
resnet_50_145ac6a_report,1.1666666666666667,397.3
resnet_50_145ac6a_report,1.3333333333333333,390.9
resnet_50_145ac6a_report,1.5,358.8
resnet_50_145ac6a_report,1.6666666666666667,419.40000000000003
resnet_50_145ac6a_report,1.8333333333333333,428.6
resnet_50_145ac6a_report,2.0,402.6
resnet_50_145ac6a_report,2.1666666666666665,404.59999999999997
resnet_50_145ac6a_report,2.3333333333333335,152.4
resnet_50_145ac6a_report,2.5,95.5
resnet_50_145ac6a_report,2.6666666666666665,71.5
resnet_50_145ac6a_report,2.8333333333333335,65.97999999999999
resnet_50_145ac6a_report,3.0,74.5
resnet_50_145ac6a_report,3.1666666666666665,64.18
resnet_50_145ac6a_report,3.3333333333333335,64.8
resnet_50_145ac6a_report,3.5,69.8
resnet_50_145ac6a_report,3.6666666666666665,71.9
resnet_50_145ac6a_report,3.8333333333333335,124.6
resnet_50_145ac6a_report,4.0,138.9
resnet_50_145ac6a_report,4.166666666666667,108.8
resnet_50_145ac6a_report,4.333333333333333,70.9
resnet_50_145ac6a_report,4.5,69.68
resnet_50_145ac6a_report,4.666666666666667,69.0
resnet_50_145ac6a_report,4.833333333333333,65.2
resnet_50_145ac6a_report,5.0,98.69999999999999
resnet_50_145ac6a_report,5.166666666666667,128.4
resnet_50_145ac6a_report,5.333333333333333,135.9
resnet_50_145ac6a_report,5.5,88.8
resnet_50_145ac6a_report,5.666666666666667,69.38
resnet_50_145ac6a_report,5.833333333333333,74.30000000000001
resnet_50_145ac6a_report,6.0,129.8
resnet_50_145ac6a_report,6.166666666666667,137.5
resnet_50_145ac6a_report,6.333333333333333,134.7
resnet_50_145ac6a_report,6.5,68.5
resnet_50_145ac6a_report,6.666666666666667,74.1
resnet_50_145ac6a_report,6.833333333333333,110.7
resnet_50_145ac6a_report,7.0,131.2
resnet_50_145ac6a_report,7.166666666666667,116.19999999999999
resnet_50_145ac6a_report,7.333333333333333,123.2
resnet_50_145ac6a_report,7.5,70.0
resnet_50_145ac6a_report,7.666666666666667,101.5
resnet_50_145ac6a_report,7.833333333333333,121.5
resnet_50_145ac6a_report,8.0,117.19999999999999
