run,t_hours,round_s
resnet-101_sliceredirect_report,2.0,10.4
resnet-101_sliceredirect_report,2.0166666666666666,8.87
resnet-101_sliceredirect_report,2.033333333333333,10.2
resnet-101_sliceredirect_report,2.05,10.9
resnet-101_sliceredirect_report,2.066666666666667,8.41
resnet-101_sliceredirect_report,2.0833333333333335,9.94
resnet-101_sliceredirect_report,2.1,8.77
resnet-101_sliceredirect_report,2.1166666666666667,9.92
resnet-101_sliceredirect_report,2.1333333333333333,8.57
resnet-101_sliceredirect_report,2.15,11.7
resnet-101_sliceredirect_report,2.1666666666666665,8.69
resnet-101_sliceredirect_report,2.183333333333333,8.96
resnet-101_sliceredirect_report,2.2,9.3
resnet-101_sliceredirect_report,2.216666666666667,9.48
resnet-101_sliceredirect_report,2.2333333333333334,9.47
resnet-101_sliceredirect_report,2.25,11.8
resnet-101_sliceredirect_report,2.2666666666666666,11.8
resnet-101_sliceredirect_report,2.283333333333333,10.2
resnet-101_sliceredirect_report,2.3,8.63
resnet-101_sliceredirect_report,2.316666666666667,57.3
resnet-101_sliceredirect_report,2.3333333333333335,29.2
resnet-101_sliceredirect_report,2.35,32.7
resnet-101_sliceredirect_report,2.3666666666666667,10.4
resnet-101_sliceredirect_report,2.3833333333333333,20.0
resnet-101_sliceredirect_report,2.4,10.6
resnet-101_sliceredirect_report,2.4166666666666665,12.4
resnet-101_sliceredirect_report,2.433333333333333,15.1
resnet-101_sliceredirect_report,2.45,12.7
resnet-101_sliceredirect_report,2.466666666666667,14.5
resnet-101_sliceredirect_report,2.4833333333333334,35.8
resnet-101_sliceredirect_report,2.5,27.1
resnet-101_sliceredirect_report,2.5166666666666666,11.2
resnet-101_sliceredirect_report,2.533333333333333,10.0
resnet-101_sliceredirect_report,2.55,11.2
resnet-101_sliceredirect_report,2.566666666666667,17.7
resnet-101_sliceredirect_report,2.5833333333333335,11.0
resnet-101_sliceredirect_report,2.6,11.5
resnet-101_sliceredirect_report,2.6166666666666667,11.3
resnet-101_sliceredirect_report,2.6333333333333333,10.3
resnet-101_sliceredirect_report,2.65,13.4
resnet-101_sliceredirect_report,2.6666666666666665,64.2
resnet-101_sliceredirect_report,2.683333333333333,10.2
resnet-101_sliceredirect_report,2.7,13.7
resnet-101_sliceredirect_report,2.716666666666667,12.6
resnet-101_sliceredirect_report,2.7333333333333334,21.2
resnet-101_sliceredirect_report,2.75,20.6
resnet-101_sliceredirect_report,2.7666666666666666,23.8
resnet-101_sliceredirect_report,2.783333333333333,12.1
resnet-101_sliceredirect_report,2.8,11.3
resnet-101_sliceredirect_report,2.816666666666667,20.0
resnet-101_sliceredirect_report,2.8333333333333335,14.4
resnet-101_sliceredirect_report,2.85,21.6
resnet-101_sliceredirect_report,2.8666666666666667,19.4
resnet-101_sliceredirect_report,2.8833333333333333,23.9
resnet-101_sliceredirect_report,2.9,20.3
resnet-101_sliceredirect_report,2.9166666666666665,24.6
resnet-101_sliceredirect_report,2.933333333333333,12.4
resnet-101_sliceredirect_report,2.95,9.53
resnet-101_sliceredirect_report,2.966666666666667,10.9
resnet-101_sliceredirect_report,2.9833333333333334,11.8
resnet-101_sliceredirect_report,3.0,8.87
resnet-101_sliceredirect_report,3.0166666666666666,9.3
resnet-101_sliceredirect_report,3.033333333333333,8.04
resnet-101_sliceredirect_report,3.05,36.3
resnet-101_sliceredirect_report,3.066666666666667,11.7
resnet-101_sliceredirect_report,3.0833333333333335,76.8
resnet-101_sliceredirect_report,3.1,9.65
resnet-101_sliceredirect_report,3.1166666666666667,27.4
resnet-101_sliceredirect_report,3.1333333333333333,36.0
resnet-101_sliceredirect_report,3.15,19.7
resnet-101_sliceredirect_report,3.1666666666666665,9.43
resnet-101_sliceredirect_report,3.183333333333333,10.6
resnet-101_sliceredirect_report,3.2,51.3
resnet-101_sliceredirect_report,3.216666666666667,20.8
resnet-101_sliceredirect_report,3.2333333333333334,32.4
resnet-101_sliceredirect_report,3.25,10.9
resnet-101_sliceredirect_report,3.2666666666666666,9.95
resnet-101_sliceredirect_report,3.283333333333333,12.7
resnet-101_sliceredirect_report,3.3,11.7
resnet-101_sliceredirect_report,3.316666666666667,12.1
resnet-101_sliceredirect_report,3.3333333333333335,37.3
resnet-101_sliceredirect_report,3.35,12.4
resnet-101_sliceredirect_report,3.3666666666666667,55.4
resnet-101_sliceredirect_report,3.3833333333333333,10.5
resnet-101_sliceredirect_report,3.4,12.7
resnet-101_sliceredirect_report,3.4166666666666665,11.5
resnet-101_sliceredirect_report,3.433333333333333,47.8
resnet-101_sliceredirect_report,3.45,12.3
resnet-101_sliceredirect_report,3.466666666666667,11.7
resnet-101_sliceredirect_report,3.4833333333333334,11.5
resnet-101_sliceredirect_report,3.5,15.5
resnet-101_sliceredirect_report,3.5166666666666666,19.3
resnet-101_sliceredirect_report,3.533333333333333,11.8
resnet-101_sliceredirect_report,3.55,10.1
resnet-101_sliceredirect_report,3.566666666666667,9.88
resnet-101_sliceredirect_report,3.5833333333333335,11.0
resnet-101_sliceredirect_report,3.6,12.2
resnet-101_sliceredirect_report,3.6166666666666667,11.6
resnet-101_sliceredirect_report,3.6333333333333333,8.95
resnet-101_sliceredirect_report,3.65,11.7
resnet-101_sliceredirect_report,3.6666666666666665,10.2
resnet-101_sliceredirect_report,3.683333333333333,8.06
resnet-101_sliceredirect_report,3.7,10.0
resnet-101_sliceredirect_report,3.716666666666667,10.5
resnet-101_sliceredirect_report,3.7333333333333334,12.3
resnet-101_sliceredirect_report,3.75,10.1
resnet-101_sliceredirect_report,3.7666666666666666,8.42
resnet-101_sliceredirect_report,3.783333333333333,8.34
resnet-101_sliceredirect_report,3.8,10.2
resnet-101_sliceredirect_report,3.816666666666667,54.1
resnet-101_sliceredirect_report,3.8333333333333335,13.5
resnet-101_sliceredirect_report,3.85,20.1
resnet-101_sliceredirect_report,3.8666666666666667,45.2
resnet-101_sliceredirect_report,3.8833333333333333,39.4
resnet-101_sliceredirect_report,3.9,37.7
resnet-101_sliceredirect_report,3.9166666666666665,40.3
resnet-101_sliceredirect_report,3.933333333333333,37.0
resnet-101_sliceredirect_report,3.95,12.0
resnet-101_sliceredirect_report,3.966666666666667,9.46
resnet-101_sliceredirect_report,3.9833333333333334,11.0
resnet-101_sliceredirect_report,4.0,16.1
resnet-101_sliceredirect_report,4.016666666666667,9.32
resnet-101_sliceredirect_report,4.033333333333333,70.19999999999999
resnet-101_sliceredirect_report,4.05,87.6
resnet-101_sliceredirect_report,4.066666666666666,87.6
resnet-101_sliceredirect_report,4.083333333333333,11.2
resnet-101_sliceredirect_report,4.1,76.8
resnet-101_sliceredirect_report,4.116666666666666,12.1
resnet-101_sliceredirect_report,4.133333333333334,8.13
resnet-101_sliceredirect_report,4.15,10.8
resnet-101_sliceredirect_report,4.166666666666667,10.5
resnet-101_sliceredirect_report,4.183333333333334,9.92
resnet-101_sliceredirect_report,4.2,11.9
