"Time","sum:gptneo_03e4b61/gateway1"
2026-01-08 04:20:00,104 MB
2026-01-08 04:40:00,104 MB
2026-01-08 05:00:00,105 MB
2026-01-08 05:20:00,105 MB
2026-01-08 05:40:00,105 MB
2026-01-08 06:00:00,106 MB
2026-01-08 06:20:00,106 MB
2026-01-08 06:40:00,106 MB
2026-01-08 07:00:00,107 MB
2026-01-08 07:20:00,107 MB
2026-01-08 07:40:00,108 MB
2026-01-08 08:00:00,108 MB
2026-01-08 08:20:00,108 MB
2026-01-08 08:40:00,109 MB
2026-01-08 09:00:00,109 MB
2026-01-08 09:20:00,110 MB
2026-01-08 09:40:00,110 MB
2026-01-08 10:00:00,110 MB
2026-01-08 10:20:00,111 MB
2026-01-08 10:40:00,111 MB
2026-01-08 11:00:00,112 MB
2026-01-08 11:20:00,112 MB
2026-01-08 11:40:00,112 MB
2026-01-08 12:00:00,113 MB
2026-01-08 12:20:00,113 MB
2026-01-08 12:40:00,113 MB
2026-01-08 13:00:00,114 MB
2026-01-08 13:20:00,114 MB
2026-01-08 13:40:00,115 MB
2026-01-08 14:00:00,115 MB
2026-01-08 14:20:00,115 MB
2026-01-08 14:40:00,116 MB
2026-01-08 15:00:00,116 MB
2026-01-08 15:20:00,117 MB
2026-01-08 15:40:00,117 MB
2026-01-08 16:00:00,117 MB
2026-01-08 16:20:00,118 MB
2026-01-08 16:40:00,118 MB
2026-01-08 17:00:00,119 MB
2026-01-08 17:20:00,119 MB
2026-01-08 17:40:00,119 MB
2026-01-08 18:00:00,120 MB
2026-01-08 18:20:00,120 MB
2026-01-08 18:40:00,120 MB
2026-01-08 19:00:00,121 MB
2026-01-08 19:20:00,121 MB
2026-01-08 19:40:00,122 MB
2026-01-08 20:00:00,122 MB
2026-01-08 20:20:00,122 MB
2026-01-08 20:40:00,123 MB
2026-01-08 21:00:00,123 MB
2026-01-08 21:20:00,124 MB
2026-01-08 21:40:00,124 MB
2026-01-08 22:00:00,124 MB
2026-01-08 22:20:00,125 MB
2026-01-08 22:40:00,125 MB
2026-01-08 23:00:00,126 MB
2026-01-08 23:20:00,126 MB
2026-01-08 23:40:00,126 MB
2026-01-09 00:00:00,127 MB
2026-01-09 00:20:00,127 MB
2026-01-09 00:40:00,127 MB
2026-01-09 01:00:00,128 MB
2026-01-09 01:20:00,128 MB
2026-01-09 01:40:00,128 MB
2026-01-09 02:00:00,129 MB
2026-01-09 02:20:00,129 MB
2026-01-09 02:40:00,130 MB
2026-01-09 03:00:00,130 MB
2026-01-09 03:20:00,130 MB
2026-01-09 03:40:00,131 MB
2026-01-09 04:00:00,131 MB
2026-01-09 04:20:00,131 MB
2026-01-09 04:40:00,132 MB
2026-01-09 05:00:00,132 MB
2026-01-09 05:20:00,132 MB
2026-01-09 05:40:00,133 MB
2026-01-09 06:00:00,133 MB
2026-01-09 06:20:00,133 MB
2026-01-09 06:40:00,134 MB
2026-01-09 07:00:00,134 MB
2026-01-09 07:20:00,134 MB
2026-01-09 07:40:00,135 MB
2026-01-09 08:00:00,135 MB
2026-01-09 08:20:00,135 MB
2026-01-09 08:40:00,136 MB
2026-01-09 09:00:00,136 MB
2026-01-09 09:20:00,136 MB
2026-01-09 09:40:00,137 MB
2026-01-09 10:00:00,137 MB
2026-01-09 10:20:00,137 MB
2026-01-09 10:40:00,138 MB
2026-01-09 11:00:00,138 MB
2026-01-09 11:20:00,139 MB
