"Time","sum:gptneo_03e4b61/gateway1","sum:gptneo_03e4b61/scheduler","sum:gptneo_03e4b61/worker1","sum:gptneo_03e4b61/worker2","sum:gptneo_03e4b61/worker3","sum:gptneo_03e4b61/worker4"
2026-01-06 19:20:00,65.3 MB,90.0 MB,357 GB,368 GB,8.06 TB,356 GB
2026-01-06 19:40:00,65.7 MB,91.5 MB,362 GB,374 GB,8.07 TB,362 GB
2026-01-06 20:00:00,66.1 MB,93.2 MB,368 GB,380 GB,8.09 TB,368 GB
2026-01-06 20:20:00,66.5 MB,94.6 MB,375 GB,388 GB,8.11 TB,375 GB
2026-01-06 20:40:00,66.9 MB,96.2 MB,382 GB,395 GB,8.14 TB,382 GB
2026-01-06 21:00:00,67.3 MB,97.7 MB,388 GB,401 GB,8.15 TB,388 GB
2026-01-06 21:20:00,67.7 MB,99.4 MB,394 GB,406 GB,8.17 TB,394 GB
2026-01-06 21:40:00,68.0 MB,101 MB,399 GB,412 GB,8.19 TB,400 GB
2026-01-06 22:00:00,68.4 MB,103 MB,405 GB,418 GB,8.20 TB,405 GB
2026-01-06 22:20:00,68.8 MB,104 MB,411 GB,424 GB,8.22 TB,412 GB
2026-01-06 22:40:00,69.2 MB,106 MB,417 GB,430 GB,8.24 TB,417 GB
2026-01-06 23:00:00,69.6 MB,107 MB,422 GB,436 GB,8.26 TB,423 GB
2026-01-06 23:20:00,70.0 MB,109 MB,428 GB,442 GB,8.27 TB,429 GB
2026-01-06 23:40:00,70.4 MB,110 MB,434 GB,448 GB,8.29 TB,435 GB
2026-01-07 00:00:00,70.8 MB,112 MB,439 GB,454 GB,8.31 TB,441 GB
2026-01-07 00:20:00,71.2 MB,116 MB,445 GB,459 GB,8.32 TB,446 GB
2026-01-07 00:40:00,71.6 MB,123 MB,445 GB,459 GB,8.32 TB,446 GB
2026-01-07 01:00:00,72.0 MB,131 MB,445 GB,459 GB,8.32 TB,446 GB
2026-01-07 01:20:00,72.4 MB,138 MB,445 GB,459 GB,8.32 TB,446 GB
2026-01-07 01:40:00,72.8 MB,145 MB,445 GB,459 GB,8.32 TB,446 GB
2026-01-07 02:00:00,73.1 MB,153 MB,445 GB,459 GB,8.32 TB,446 GB
2026-01-07 02:20:00,73.5 MB,160 MB,445 GB,459 GB,8.32 TB,446 GB
2026-01-07 02:40:00,73.9 MB,167 MB,445 GB,459 GB,8.32 TB,446 GB
2026-01-07 03:00:00,74.3 MB,174 MB,445 GB,459 GB,8.32 TB,446 GB
2026-01-07 03:20:00,74.7 MB,182 MB,445 GB,459 GB,8.32 TB,446 GB
2026-01-07 03:40:00,75.1 MB,189 MB,445 GB,459 GB,8.32 TB,446 GB
2026-01-07 04:00:00,75.5 MB,196 MB,445 GB,459 GB,8.32 TB,446 GB
2026-01-07 04:20:00,75.8 MB,204 MB,445 GB,459 GB,8.32 TB,446 GB
2026-01-07 04:40:00,76.2 MB,211 MB,445 GB,459 GB,8.32 TB,446 GB
2026-01-07 05:00:00,76.6 MB,218 MB,445 GB,459 GB,8.32 TB,446 GB
2026-01-07 05:20:00,77.0 MB,226 MB,445 GB,459 GB,8.32 TB,446 GB
2026-01-07 05:40:00,77.4 MB,233 MB,445 GB,459 GB,8.32 TB,446 GB
2026-01-07 06:00:00,77.8 MB,240 MB,445 GB,459 GB,8.32 TB,446 GB
2026-01-07 06:20:00,78.1 MB,248 MB,445 GB,459 GB,8.32 TB,446 GB
2026-01-07 06:40:00,78.5 MB,255 MB,445 GB,459 GB,8.32 TB,446 GB
2026-01-07 07:00:00,78.9 MB,262 MB,445 GB,459 GB,8.32 TB,446 GB
2026-01-07 07:20:00,79.3 MB,265 MB,445 GB,460 GB,8.32 TB,27.0 MB
2026-01-07 07:40:00,79.7 MB,266 MB,451 GB,468 GB,8.33 TB,2.71 GB
2026-01-07 08:00:00,80.1 MB,268 MB,460 GB,476 GB,8.36 TB,9.79 GB
2026-01-07 08:20:00,80.5 MB,269 MB,465 GB,483 GB,8.38 TB,17.1 GB
2026-01-07 08:40:00,80.9 MB,271 MB,474 GB,492 GB,8.40 TB,24.8 GB
2026-01-07 09:00:00,81.2 MB,272 MB,479 GB,498 GB,8.42 TB,31.4 GB
2026-01-07 09:20:00,81.6 MB,274 MB,485 GB,504 GB,8.44 TB,37.1 GB
2026-01-07 09:40:00,82.0 MB,275 MB,491 GB,509 GB,8.45 TB,42.9 GB
2026-01-07 10:00:00,82.4 MB,277 MB,497 GB,515 GB,8.47 TB,48.7 GB
2026-01-07 10:20:00,82.8 MB,278 MB,502 GB,521 GB,8.49 TB,54.4 GB
2026-01-07 10:40:00,83.2 MB,279 MB,508 GB,527 GB,8.51 TB,60.2 GB
2026-01-07 11:00:00,83.6 MB,281 MB,517 GB,535 GB,8.53 TB,68.2 GB
2026-01-07 11:20:00,84.0 MB,282 MB,522 GB,542 GB,8.55 TB,74.3 GB
2026-01-07 11:40:00,84.3 MB,284 MB,529 GB,549 GB,8.57 TB,80.9 GB
2026-01-07 12:00:00,84.7 MB,285 MB,537 GB,557 GB,8.59 TB,87.7 GB
2026-01-07 12:20:00,85.1 MB,286 MB,542 GB,563 GB,8.60 TB,91.8 GB
2026-01-07 12:40:00,85.5 MB,288 MB,548 GB,568 GB,8.62 TB,97.6 GB
2026-01-07 13:00:00,85.9 MB,289 MB,554 GB,574 GB,8.64 TB,103 GB
2026-01-07 13:20:00,86.3 MB,291 MB,559 GB,580 GB,8.66 TB,109 GB
2026-01-07 13:40:00,86.7 MB,292 MB,565 GB,586 GB,8.67 TB,115 GB
2026-01-07 14:00:00,87.1 MB,293 MB,571 GB,592 GB,8.69 TB,121 GB
2026-01-07 14:20:00,87.5 MB,295 MB,577 GB,598 GB,8.71 TB,126 GB
2026-01-07 14:40:00,87.8 MB,296 MB,582 GB,604 GB,8.72 TB,132 GB
2026-01-07 15:00:00,88.2 MB,298 MB,591 GB,613 GB,8.75 TB,140 GB
2026-01-07 15:20:00,88.6 MB,299 MB,597 GB,619 GB,8.76 TB,146 GB
2026-01-07 15:40:00,89.0 MB,300 MB,603 GB,626 GB,8.78 TB,153 GB
2026-01-07 16:00:00,89.4 MB,302 MB,611 GB,633 GB,8.81 TB,160 GB
2026-01-07 16:20:00,89.8 MB,303 MB,616 GB,639 GB,8.83 TB,167 GB
2026-01-07 16:40:00,90.2 MB,306 MB,622 GB,645 GB,8.84 TB,173 GB
2026-01-07 17:00:00,90.6 MB,307 MB,628 GB,651 GB,8.86 TB,178 GB
2026-01-07 17:20:00,91.0 MB,308 MB,634 GB,657 GB,8.87 TB,181 GB
2026-01-07 17:40:00,91.3 MB,310 MB,639 GB,663 GB,8.89 TB,187 GB
2026-01-07 18:00:00,91.7 MB,311 MB,645 GB,669 GB,8.91 TB,192 GB
2026-01-07 18:20:00,92.1 MB,313 MB,651 GB,675 GB,8.92 TB,197 GB
2026-01-07 18:40:00,92.5 MB,314 MB,659 GB,683 GB,8.94 TB,203 GB
2026-01-07 19:00:00,92.9 MB,316 MB,665 GB,689 GB,8.96 TB,210 GB
2026-01-07 19:20:00,93.3 MB,317 MB,671 GB,696 GB,8.98 TB,216 GB
2026-01-07 19:40:00,93.7 MB,318 MB,679 GB,704 GB,9.00 TB,222 GB
2026-01-07 20:00:00,94.1 MB,320 MB,685 GB,710 GB,9.02 TB,228 GB
2026-01-07 20:20:00,94.4 MB,321 MB,691 GB,716 GB,9.04 TB,235 GB
2026-01-07 20:40:00,94.8 MB,322 MB,696 GB,722 GB,9.06 TB,241 GB
2026-01-07 21:00:00,95.2 MB,324 MB,702 GB,728 GB,9.07 TB,247 GB
2026-01-07 21:20:00,95.6 MB,325 MB,708 GB,734 GB,9.09 TB,253 GB
2026-01-07 21:40:00,96.0 MB,327 MB,714 GB,740 GB,9.11 TB,259 GB
2026-01-07 22:00:00,96.4 MB,328 MB,719 GB,745 GB,9.13 TB,264 GB
2026-01-07 22:20:00,96.8 MB,329 MB,725 GB,751 GB,9.14 TB,270 GB
2026-01-07 22:40:00,97.2 MB,331 MB,731 GB,757 GB,9.16 TB,276 GB
2026-01-07 23:00:00,97.5 MB,332 MB,736 GB,763 GB,9.18 TB,282 GB
2026-01-07 23:20:00,97.9 MB,334 MB,745 GB,772 GB,9.20 TB,289 GB
2026-01-07 23:40:00,98.3 MB,335 MB,751 GB,778 GB,9.22 TB,296 GB
2026-01-08 00:00:00,98.7 MB,336 MB,759 GB,787 GB,9.24 TB,304 GB
2026-01-08 00:20:00,99.1 MB,338 MB,765 GB,793 GB,9.26 TB,310 GB
2026-01-08 00:40:00,99.5 MB,339 MB,771 GB,798 GB,9.28 TB,316 GB
2026-01-08 01:00:00,99.9 MB,341 MB,776 GB,804 GB,9.30 TB,322 GB
2026-01-08 01:20:00,100 MB,342 MB,782 GB,810 GB,9.31 TB,328 GB
2026-01-08 01:40:00,101 MB,343 MB,788 GB,816 GB,9.33 TB,333 GB
2026-01-08 02:00:00,101 MB,345 MB,793 GB,822 GB,9.35 TB,339 GB
2026-01-08 02:20:00,101 MB,346 MB,803 GB,833 GB,9.37 TB,346 GB
2026-01-08 02:40:00,102 MB,347 MB,811 GB,840 GB,9.39 TB,352 GB
2026-01-08 03:00:00,102 MB,349 MB,816 GB,846 GB,9.41 TB,359 GB
2026-01-08 03:20:00,103 MB,350 MB,822 GB,852 GB,9.43 TB,365 GB
2026-01-08 03:40:00,103 MB,352 MB,828 GB,858 GB,9.45 TB,371 GB
2026-01-08 04:00:00,103 MB,353 MB,833 GB,863 GB,9.46 TB,377 GB
2026-01-08 04:20:00,104 MB,354 MB,839 GB,869 GB,9.48 TB,382 GB
2026-01-08 04:40:00,104 MB,356 MB,845 GB,875 GB,9.50 TB,388 GB
2026-01-08 05:00:00,105 MB,357 MB,853 GB,884 GB,9.52 TB,397 GB
2026-01-08 05:20:00,105 MB,359 MB,862 GB,893 GB,9.55 TB,404 GB
2026-01-08 05:40:00,105 MB,360 MB,868 GB,899 GB,9.56 TB,411 GB
2026-01-08 06:00:00,106 MB,361 MB,873 GB,905 GB,9.58 TB,417 GB
2026-01-08 06:20:00,106 MB,363 MB,879 GB,911 GB,9.60 TB,423 GB
2026-01-08 06:40:00,106 MB,364 MB,885 GB,917 GB,9.62 TB,428 GB
2026-01-08 07:00:00,107 MB,366 MB,890 GB,922 GB,9.63 TB,434 GB
2026-01-08 07:20:00,107 MB,367 MB,896 GB,928 GB,9.65 TB,440 GB
2026-01-08 07:40:00,108 MB,368 MB,902 GB,934 GB,9.67 TB,446 GB
2026-01-08 08:00:00,108 MB,370 MB,910 GB,942 GB,9.69 TB,453 GB
2026-01-08 08:20:00,108 MB,371 MB,916 GB,949 GB,9.71 TB,460 GB
2026-01-08 08:40:00,109 MB,373 MB,922 GB,955 GB,9.73 TB,466 GB
2026-01-08 09:00:00,109 MB,374 MB,930 GB,964 GB,9.75 TB,473 GB
2026-01-08 09:20:00,110 MB,375 MB,936 GB,970 GB,9.77 TB,480 GB
2026-01-08 09:40:00,110 MB,377 MB,942 GB,975 GB,9.79 TB,486 GB
2026-01-08 10:00:00,110 MB,378 MB,948 GB,981 GB,9.80 TB,492 GB
2026-01-08 10:20:00,111 MB,380 MB,953 GB,987 GB,9.82 TB,497 GB
2026-01-08 10:40:00,111 MB,381 MB,959 GB,993 GB,9.84 TB,503 GB
2026-01-08 11:00:00,112 MB,382 MB,965 GB,999 GB,9.85 TB,509 GB
2026-01-08 11:20:00,112 MB,384 MB,970 GB,1.01 TB,9.87 TB,515 GB
2026-01-08 11:40:00,112 MB,385 MB,979 GB,1.01 TB,9.89 TB,522 GB
2026-01-08 12:00:00,113 MB,387 MB,985 GB,1.02 TB,9.91 TB,529 GB
2026-01-08 12:20:00,113 MB,388 MB,993 GB,1.03 TB,9.94 TB,536 GB
2026-01-08 12:40:00,113 MB,389 MB,999 GB,1.03 TB,9.96 TB,543 GB
2026-01-08 13:00:00,114 MB,391 MB,1.00 TB,1.04 TB,9.97 TB,549 GB
2026-01-08 13:20:00,114 MB,392 MB,1.01 TB,1.05 TB,9.99 TB,557 GB
2026-01-08 13:40:00,115 MB,393 MB,1.02 TB,1.05 TB,10.0 TB,563 GB
2026-01-08 14:00:00,115 MB,395 MB,1.02 TB,1.06 TB,10.0 TB,569 GB
