"Time","gateway1","scheduler","worker1","worker2","worker3","worker4"
2026-01-06 14:40:00,2.59 kb/s,9.28 kb/s,38.0 Mb/s,39.5 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-06 15:00:00,2.58 kb/s,11.0 kb/s,38.0 Mb/s,39.4 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-06 15:20:00,2.59 kb/s,9.76 kb/s,55.5 Mb/s,47.6 Mb/s,128 Mb/s,46.1 Mb/s
2026-01-06 15:40:00,2.56 kb/s,11.6 kb/s,39.6 Mb/s,49.4 Mb/s,129 Mb/s,38.6 Mb/s
2026-01-06 16:00:00,2.58 kb/s,10.1 kb/s,38.0 Mb/s,39.9 Mb/s,129 Mb/s,44.8 Mb/s
2026-01-06 16:20:00,2.61 kb/s,10.4 kb/s,57.1 Mb/s,58.1 Mb/s,176 Mb/s,53.1 Mb/s
2026-01-06 16:40:00,2.58 kb/s,10.9 kb/s,38.0 Mb/s,39.4 Mb/s,119 Mb/s,43.2 Mb/s
2026-01-06 17:00:00,2.59 kb/s,11.3 kb/s,38.0 Mb/s,39.4 Mb/s,114 Mb/s,42.4 Mb/s
2026-01-06 17:20:00,2.59 kb/s,10.3 kb/s,38.0 Mb/s,39.2 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-06 17:40:00,2.59 kb/s,10.3 kb/s,38.2 Mb/s,39.5 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-06 18:00:00,2.58 kb/s,10.0 kb/s,38.0 Mb/s,39.5 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-06 18:20:00,2.58 kb/s,9.52 kb/s,38.2 Mb/s,39.4 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-06 18:40:00,2.59 kb/s,11.6 kb/s,38.0 Mb/s,39.6 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-06 19:00:00,2.58 kb/s,10.2 kb/s,38.2 Mb/s,39.4 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-06 19:20:00,2.59 kb/s,11.8 kb/s,56.9 Mb/s,56.1 Mb/s,127 Mb/s,28.5 Mb/s
2026-01-06 19:40:00,2.58 kb/s,10.1 kb/s,38.0 Mb/s,41.6 Mb/s,122 Mb/s,40.9 Mb/s
2026-01-06 20:00:00,2.59 kb/s,10.9 kb/s,38.2 Mb/s,39.2 Mb/s,118 Mb/s,43.0 Mb/s
2026-01-06 20:20:00,2.59 kb/s,9.44 kb/s,46.9 Mb/s,52.1 Mb/s,143 Mb/s,46.0 Mb/s
2026-01-06 20:40:00,2.60 kb/s,10.5 kb/s,48.0 Mb/s,45.4 Mb/s,147 Mb/s,44.3 Mb/s
2026-01-06 21:00:00,2.58 kb/s,10.4 kb/s,38.2 Mb/s,39.2 Mb/s,119 Mb/s,43.6 Mb/s
2026-01-06 21:20:00,2.58 kb/s,11.1 kb/s,38.0 Mb/s,39.2 Mb/s,113 Mb/s,39.2 Mb/s
2026-01-06 21:40:00,2.59 kb/s,12.0 kb/s,38.0 Mb/s,39.4 Mb/s,113 Mb/s,39.4 Mb/s
2026-01-06 22:00:00,2.58 kb/s,9.22 kb/s,38.2 Mb/s,39.2 Mb/s,113 Mb/s,36.1 Mb/s
2026-01-06 22:20:00,2.59 kb/s,11.0 kb/s,38.0 Mb/s,39.4 Mb/s,114 Mb/s,42.0 Mb/s
2026-01-06 22:40:00,2.80 kb/s,10.7 kb/s,38.0 Mb/s,39.4 Mb/s,113 Mb/s,38.4 Mb/s
2026-01-06 23:00:00,2.59 kb/s,8.45 kb/s,38.2 Mb/s,39.6 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-06 23:20:00,2.58 kb/s,9.91 kb/s,38.0 Mb/s,39.4 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-06 23:40:00,2.59 kb/s,10.4 kb/s,38.2 Mb/s,39.4 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-07 00:00:00,2.58 kb/s,10.8 kb/s,38.0 Mb/s,39.2 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-07 00:20:00,2.80 kb/s,27.9 kb/s,38.0 Mb/s,38.5 Mb/s,113 Mb/s,36.9 Mb/s
2026-01-07 00:40:00,2.58 kb/s,48.8 kb/s,22.9 kb/s,23.1 kb/s,6.07 kb/s,2.17 kb/s
2026-01-07 01:00:00,2.56 kb/s,48.8 kb/s,22.9 kb/s,23.1 kb/s,6.05 kb/s,2.16 kb/s
2026-01-07 01:20:00,2.57 kb/s,48.8 kb/s,22.9 kb/s,23.1 kb/s,6.03 kb/s,2.16 kb/s
2026-01-07 01:40:00,2.56 kb/s,48.7 kb/s,22.9 kb/s,23.1 kb/s,5.98 kb/s,2.16 kb/s
2026-01-07 02:00:00,2.57 kb/s,48.7 kb/s,22.9 kb/s,23.1 kb/s,5.97 kb/s,2.17 kb/s
2026-01-07 02:20:00,2.56 kb/s,48.7 kb/s,22.9 kb/s,23.1 kb/s,5.99 kb/s,2.16 kb/s
2026-01-07 02:40:00,2.57 kb/s,48.7 kb/s,22.9 kb/s,23.1 kb/s,5.98 kb/s,2.17 kb/s
2026-01-07 03:00:00,2.56 kb/s,48.7 kb/s,22.9 kb/s,23.1 kb/s,5.97 kb/s,2.16 kb/s
2026-01-07 03:20:00,2.56 kb/s,48.7 kb/s,22.9 kb/s,23.1 kb/s,5.98 kb/s,2.16 kb/s
2026-01-07 03:40:00,2.57 kb/s,48.7 kb/s,22.9 kb/s,23.1 kb/s,5.98 kb/s,2.16 kb/s
2026-01-07 04:00:00,2.56 kb/s,48.7 kb/s,22.9 kb/s,23.1 kb/s,5.97 kb/s,2.16 kb/s
2026-01-07 04:20:00,2.57 kb/s,48.7 kb/s,22.9 kb/s,23.1 kb/s,5.97 kb/s,2.16 kb/s
2026-01-07 04:40:00,2.56 kb/s,48.7 kb/s,22.9 kb/s,23.1 kb/s,5.99 kb/s,2.16 kb/s
2026-01-07 05:00:00,2.57 kb/s,48.7 kb/s,22.9 kb/s,23.1 kb/s,5.97 kb/s,2.17 kb/s
2026-01-07 05:20:00,2.56 kb/s,48.7 kb/s,22.9 kb/s,23.1 kb/s,5.96 kb/s,2.16 kb/s
2026-01-07 05:40:00,2.57 kb/s,48.7 kb/s,22.9 kb/s,23.1 kb/s,5.96 kb/s,2.16 kb/s
2026-01-07 06:00:00,2.56 kb/s,48.7 kb/s,22.9 kb/s,23.1 kb/s,5.96 kb/s,2.16 kb/s
2026-01-07 06:20:00,2.56 kb/s,48.7 kb/s,22.9 kb/s,23.1 kb/s,5.99 kb/s,2.16 kb/s
2026-01-07 06:40:00,2.57 kb/s,48.8 kb/s,22.9 kb/s,23.1 kb/s,6.00 kb/s,2.16 kb/s
2026-01-07 07:00:00,2.56 kb/s,48.8 kb/s,22.9 kb/s,23.1 kb/s,6.01 kb/s,2.16 kb/s
2026-01-07 07:20:00,2.55 kb/s,20.7 kb/s,176 kb/s,1.72 Mb/s,5.78 kb/s,177 kb/s
2026-01-07 07:40:00,2.58 kb/s,8.17 kb/s,38.2 Mb/s,56.9 Mb/s,75.7 Mb/s,17.5 Mb/s
2026-01-07 08:00:00,2.59 kb/s,9.50 kb/s,56.9 Mb/s,53.2 Mb/s,142 Mb/s,46.4 Mb/s
2026-01-07 08:20:00,2.58 kb/s,9.90 kb/s,38.2 Mb/s,44.5 Mb/s,137 Mb/s,48.4 Mb/s
